!!!SBtab DocumentName='CMB result' Document='CMBresult' RelaxationAlpha='0.100000' CalculationTime='5.334865 s'					
					
!!SBtab TableName='Metabolic fluxes' TableID='MetabolicFlux' TableType='QuantityMatrix' Unit='mM/s'					
!QuantityType	!Reaction	state_1	state_2	state_3	state_4
rate of reaction	E1	-0.00020049526	-0.0044663662	0.0077923079	0.0052511394
rate of reaction	E2	0.072057592	0.051827238	0.064785054	0.058460774
rate of reaction	E3	0.061101081	0.033202961	0.05399568	0.067911667
					
!!SBtab TableName='Metabolite concentrations' TableID='MetaboliteConcentration' TableType='QuantityMatrix' Unit='mM'					
!QuantityType	!Compound	state_1	state_2	state_3	state_4
concentration	X1	0.65625869	0.96900238	1.3962554	1.2368198
concentration	X2	0.65108099	1.0748026	0.41098298	0.4833806
concentration	X3	0.071641893	0.097041814	0.15152848	0.047610606
concentration	S4	1.2054648	5.0579238	0.7567173	0.70057545
					
!!SBtab TableName='Enzyme concentrations' TableID='EnzymeConcentration' TableType='QuantityMatrix' Unit='mM'					
!QuantityType	!Reaction	state_1	state_2	state_3	state_4
concentration of enzyme	E1	0.0019527959	0.0010721687	0.00054891579	0.00039364397
concentration of enzyme	E2	0.0015163095	0.0030192661	0.0013626678	0.00096022687
concentration of enzyme	E3	0.00080949017	0.00026996002	0.0013266655	0.0011592643
					
!!SBtab TableName='Gibbs free energies of reaction' TableID='ReactionGibbsFreeEnergy' TableType='QuantityMatrix' Unit='kJ/mol'					
!QuantityType	!Reaction	state_1	state_2	state_3	state_4
Gibbs energy of reaction	E1	0.040756166	2.6297263	-2.9851204	-2.8756425
Gibbs energy of reaction	E2	-7.0170844	-4.7046326	-7.0308389	-7.624153
Gibbs energy of reaction	E3	-6.4131553	-9.2159356	-3.4019061	-6.0807421
