!!!SBtab Document='CMBresult' DocumentName='CMB result' RelaxationAlpha='0.000000' CalculationTime='13.784760 s'				
				
!!SBtab TableID='Reaction' TableType='Reaction' TableName='Reaction'				
!ID	!ReactionFormula	!Name	!IsReversible	
E1	X1 <=> S4	E1	True	
E2	X2 <=> S4	E2	True	
E3	S4 <=> X3	E3	True	
				
!!SBtab TableID='Compound' TableType='Compound' TableName='Compound'				
!ID	!Name	!IsConstant		
X1	X1	True		
X2	X2	True		
X3	X3	True		
S4	S4	False		
				
!!SBtab TableID='Parameter' TableType='Quantity' TableName='Parameter' StandardConcentration='mM'				
!QuantityType	!Reaction	!Compound	!Mode	!Unit
equilibrium constant	E1		2.1055347	dimensionless
equilibrium constant	E2		44.7043	dimensionless
equilibrium constant	E3		0.48413336	dimensionless
catalytic rate constant geometric mean	E1		59.233748	1/s
catalytic rate constant geometric mean	E2		74.605125	1/s
catalytic rate constant geometric mean	E3		87.259672	1/s
Michaelis constant	E1	X1	0.26957298	mM
Michaelis constant	E2	X2	0.37299164	mM
Michaelis constant	E3	X3	0.11225921	mM
Michaelis constant	E1	S4	0.0055315682	mM
Michaelis constant	E2	S4	0.012865623	mM
Michaelis constant	E3	S4	0.54399313	mM
substrate catalytic rate constant	E1		600.01825	1/s
substrate catalytic rate constant	E2		2685.8234	1/s
substrate catalytic rate constant	E3		133.65395	1/s
product catalytic rate constant	E1		5.8475504	1/s
product catalytic rate constant	E2		2.0723346	1/s
product catalytic rate constant	E3		56.969887	1/s
				
!!SBtab TableID='ConcentrationConstraint' TableType='Quantity' TableName='Metabolite concentration constraints'				
!QuantityType	!Compound	!Min	!Max	
concentration	X1	1e-06	1000000	
concentration	X2	1e-06	1000000	
concentration	X3	1e-06	1000000	
concentration	S4	1e-06	1000000	
