!!!SBtab Document='CMBresult' DocumentName='CMB result' CalculationTime='4.924162 s'				
				
!!SBtab TableID='Reaction' TableType='Reaction' TableName='Reaction'				
!ID	!ReactionFormula	!Name	!IsReversible	
E1	X1 <=> S4	E1	True	
E2	X2 <=> S4	E2	True	
E3	S4 <=> X3	E3	True	
				
!!SBtab TableID='Compound' TableType='Compound' TableName='Compound'				
!ID	!Name	!IsConstant		
X1	X1	True		
X2	X2	True		
X3	X3	True		
S4	S4	False		
				
!!SBtab TableID='Parameter' TableType='Quantity' TableName='Parameter' StandardConcentration='mM'				
!QuantityType	!Reaction	!Compound	!Mode	!Unit
equilibrium constant	E1		2.1050937	dimensionless
equilibrium constant	E2		44.7011	dimensionless
equilibrium constant	E3		0.48333335	dimensionless
catalytic rate constant geometric mean	E1		59.228447	1/s
catalytic rate constant geometric mean	E2		74.600035	1/s
catalytic rate constant geometric mean	E3		87.149657	1/s
Michaelis constant	E1	X1	0.26960507	mM
Michaelis constant	E2	X2	0.37301779	mM
Michaelis constant	E3	X3	0.11240231	mM
Michaelis constant	E1	S4	0.0055309359	mM
Michaelis constant	E2	S4	0.012864979	mM
Michaelis constant	E3	S4	0.5453103	mM
substrate catalytic rate constant	E1		599.97172	1/s
substrate catalytic rate constant	E2		2685.7054	1/s
substrate catalytic rate constant	E3		133.45145	1/s
product catalytic rate constant	E1		5.8469571	1/s
product catalytic rate constant	E2		2.0721429	1/s
product catalytic rate constant	E3		56.912554	1/s
				
!!SBtab TableID='ConcentrationConstraint' TableType='Quantity' TableName='Metabolite concentration constraints'				
!QuantityType	!Compound	!Min	!Max	
concentration	X1	1e-06	1000000	
concentration	X2	1e-06	1000000	
concentration	X3	1e-06	1000000	
concentration	S4	1e-06	1000000	
