!!!SBtab DocumentName='CMB result' Document='CMBresult' RelaxationAlpha='0.001000' CalculationTime='8281.625358 s'					
					
!!SBtab TableName='Metabolic fluxes' TableID='MetabolicFlux' TableType='QuantityMatrix' Unit='mM/s'					
!QuantityType	!Reaction	state_1	state_2	state_3	state_4
rate of reaction	PTS_RPTSsy	-0.00062087198	-0.0011198689	-0.0022037453	-0.00024752416
rate of reaction	PGI_R02740	0.084950269	0.20119786	0.17701251	0.13767467
rate of reaction	PFK_R04779	-0.00046572886	-0.00045932471	-3.5667498e-05	-0.00018978683
rate of reaction	ALD_R01070	-0.012291876	-0.0054829808	-0.0067685035	-0.0021169129
rate of reaction	TIM_R01015	-0.012291876	-0.0054829808	-0.0067685035	-0.0021169129
rate of reaction	GAP_R01061	-3.0063511e-06	-5.668636e-06	-1.4066715e-05	-7.1779785e-06
rate of reaction	PGK_R01512	-3.006338e-06	-5.6686355e-06	-1.4066715e-05	-7.1783921e-06
rate of reaction	PGM_R01518	-3.0063363e-06	-5.6686373e-06	-1.4066715e-05	-7.178501e-06
rate of reaction	PGH_R00658	-3.0063362e-06	-5.6686375e-06	-1.4066715e-05	-7.1785023e-06
rate of reaction	PYK_R00200	0.00062093071	0.0011197834	0.002203967	0.00024795895
rate of reaction	PDH_R00209	6.3847245e-08	-8.404791e-08	2.2171966e-07	4.4118068e-07
rate of reaction	ZWF_R00835	0.0017443008	0.0013038683	0.0010634684	0.0012394958
rate of reaction	GLH_R02035	0.0017446288	0.0013040544	0.0010634688	0.0012395158
rate of reaction	PGD_R01528	0.0017489088	0.0013066995	0.0010634747	0.0012397681
rate of reaction	RPI_R01056	0.00083516991	0.00054901018	0.00035465379	0.00040326433
rate of reaction	RPE_R01529	0.0009402957	0.00077714587	0.00070883358	0.00083774354
rate of reaction	TXT_R01641	0.00082108283	0.00054973369	0.00035465779	0.00040746583
rate of reaction	TAL_R08575	0.00082381476	0.00055764409	0.00035466477	0.00041098388
rate of reaction	TXT_R01067	0.00012578799	0.00023216399	0.0003541789	0.00043055916
rate of reaction	FBP_R00762	0.80379052	1.2058605	0.33838963	0.44865929
rate of reaction	CSN_R00351	8.6121898e-06	1.8652451e-05	2.5598489e-07	2.4897827e-05
rate of reaction	ACN_R01325	1.1787497e-05	2.5042297e-05	2.7352147e-07	3.1728892e-05
rate of reaction	ACN_R01900	5.0654852e-05	0.00010012976	4.9038457e-07	0.00011136309
rate of reaction	ICD_R00709	5.0901667e-05	0.0001006017	4.9177226e-07	0.000111867
rate of reaction	KGD_R08549	1.6307272e-05	1.8176815e-05	7.583237e-06	1.5414578e-05
rate of reaction	SCS_R00405	6.3633926e-06	3.8900034e-06	6.5564213e-06	2.0683402e-06
rate of reaction	SDH_R02164	6.6437932e-06	4.1567252e-06	6.5602077e-06	2.2124107e-06
rate of reaction	FUM_R01082	3.5412709e-05	1.706839e-05	7.9656699e-06	2.241296e-05
rate of reaction	MDH_R00342	5.9534622e-05	2.7894314e-05	9.1440105e-06	3.9350001e-05
rate of reaction	PPC_R00345	-2.5692192e-05	-1.668157e-05	-2.316208e-05	-1.6476091e-05
					
!!SBtab TableName='Metabolite concentrations' TableID='MetaboliteConcentration' TableType='QuantityMatrix' Unit='mM'					
!QuantityType	!Compound	state_1	state_2	state_3	state_4
concentration	_S__Malate	0.13717648	0.099411945	0.027971112	0.087200432
concentration	Acetyl_CoA	0.023133652	0.032811782	0.00071881797	0.044224227
concentration	Fumarate	0.16373646	0.11780301	0.033150629	0.10522255
concentration	cis_Aconitate	0.10996356	0.1271968	0.0068708786	0.12830065
concentration	_6_Phospho_D_gluconate	0.08273479	0.063699706	0.13417947	0.055785252
concentration	Orthophosphate	0.0014571743	0.001440123	0.00074102322	0.00099505161
concentration	Pyruvate	0.14753834	0.10188952	0.061233317	0.38636897
concentration	NADPplus	0.0020728487	0.0018015429	0.00085409929	0.0019364586
concentration	NADPH	0.0012710548	0.0011992997	0.001407107	0.0005648242
concentration	NADH	0.00077434609	0.0012992591	0.0010341232	0.00049255309
concentration	NADplus	0.0012761777	0.00077662418	0.0011367714	0.00082664912
concentration	ATP	0.00080525932	0.00078569586	0.0013784112	0.00097604431
concentration	H2O	0.00093949045	0.0019227471	0.00072291008	0.0011952914
concentration	_2_Oxoglutarate	0.37438859	0.36764648	0.23268505	0.43890094
concentration	Oxaloacetate	0.00065872629	0.001072179	0.0011152284	0.0007891242
concentration	Ubiquinone	0.00087279467	0.00051382844	0.0017010405	0.0013633996
concentration	D_Erythrose_4_phosphate	3.5343521	5.1498973	4.3552106	3.5797942
concentration	Ubiquinol	0.0007551181	0.00095197039	0.00042396247	0.00086032065
concentration	ADP	0.0014556986	0.0011923352	0.0013328841	0.0010443495
concentration	Isocitrate	0.00070429777	0.0008044499	4.3867655e-05	0.00081379421
concentration	D_Ribulose_5_phosphate	0.40477661	0.420347	0.23589791	0.2764175
concentration	D_Xylulose_5_phosphate	0.09841976	0.10220953	0.056714777	0.066555582
concentration	D_Glucose_6_phosphate	0.055090088	0.10737338	0.18202146	0.048403398
concentration	_3_Phospho_D_glyceroyl_phosphate	0.00039682593	0.00055012227	0.00076465246	0.0010555013
concentration	CoA	0.072756523	0.14423168	0.064529151	0.14150925
concentration	CO2	0.0010856884	0.00078980822	0.00068164815	0.00083873582
concentration	D_Ribose_5_phosphate	0.35189308	0.40952508	0.25840352	0.30361089
concentration	Glycerone_phosphate	0.016500603	0.015575233	0.0098984245	0.022306991
concentration	D_Glucose	8.195259	8.4183134	3.8465517	8.6492089
concentration	D_Fructose_1_6_bisphosphate	0.12727869	0.19828968	0.051047745	0.12392239
concentration	D_Glyceraldehyde_3_phosphate	0.088591464	0.11636019	0.06832146	0.051321691
concentration	Phosphoenolpyruvate	0.046830462	0.064084399	0.11038949	0.12070587
concentration	Citrate	0.009013842	0.010606174	0.00056198574	0.010819376
concentration	Succinyl_CoA	0.1423092	0.1635135	0.22078404	0.22725325
concentration	_3_Phospho_D_glycerate	0.014689628	0.019893687	0.033772923	0.037431737
concentration	D_Glucono_1_5_lactone_6_phosphate	0.013154953	0.051921015	0.043322745	0.0078650291
concentration	D_Fructose_6_phosphate	0.11880398	0.14144713	0.10637984	0.13503773
concentration	_2_Phospho_D_glycerate	0.0029067375	0.0039527474	0.006739058	0.0074536715
concentration	Succinate	0.0016725775	0.0024726738	0.00010523782	0.00075121815
concentration	Sedoheptulose_7_phosphate	0.17518445	0.17306327	0.10562073	0.18504256
					
!!SBtab TableName='Enzyme concentrations' TableID='EnzymeConcentration' TableType='QuantityMatrix' Unit='mM'					
!QuantityType	!Reaction	state_1	state_2	state_3	state_4
concentration of enzyme	PTS_RPTSsy	0.00044070926	0.00087752826	0.00047856568	0.00071603093
concentration of enzyme	PGI_R02740	0.0009869418	0.0018423052	0.0013739786	0.0017976368
concentration of enzyme	PFK_R04779	0.0008676331	0.000751212	0.00080799548	0.00070371801
concentration of enzyme	ALD_R01070	0.0010472521	0.0016969689	0.00063654129	0.0006586825
concentration of enzyme	TIM_R01015	0.0018304802	0.00066302998	0.001102034	0.00065054017
concentration of enzyme	GAP_R01061	0.00083066322	0.00066315812	0.0010642767	0.00072989531
concentration of enzyme	PGK_R01512	0.00071654856	0.0010277229	0.0008677808	0.00058099006
concentration of enzyme	PGM_R01518	0.0012957031	0.00090312315	0.00091562177	0.00051494612
concentration of enzyme	PGH_R00658	0.00060681917	0.00080789341	0.0011377086	0.00059816284
concentration of enzyme	PYK_R00200	0.0010642277	0.0012586188	0.0011997314	0.00085675502
concentration of enzyme	PDH_R00209	0.00068249505	0.00022154973	0.00063909283	0.0007625924
concentration of enzyme	ZWF_R00835	0.0013885978	0.0011087398	0.00129997	0.0010227442
concentration of enzyme	GLH_R02035	0.0010698145	0.0003745093	0.00037178288	0.00098674718
concentration of enzyme	PGD_R01528	0.0020725902	0.0023562104	0.0012594229	0.0016460639
concentration of enzyme	RPI_R01056	0.00068223688	0.0006947765	0.001048355	0.0011959521
concentration of enzyme	RPE_R01529	0.0012916061	0.0010650133	0.00096591253	0.0011309616
concentration of enzyme	TXT_R01641	0.00032156588	0.00030708017	0.0004054267	0.00028206376
concentration of enzyme	TAL_R08575	0.00037964141	0.000368625	0.0007851908	0.00049993606
concentration of enzyme	TXT_R01067	0.00035933891	0.00065890763	0.0011496326	0.001338025
concentration of enzyme	FBP_R00762	0.0020258087	0.0024031067	0.0016501402	0.0011958714
concentration of enzyme	CSN_R00351	0.00050585406	0.00070807835	0.0003885039	0.0010216247
concentration of enzyme	ACN_R01325	0.0037152501	0.0012160403	0.0014444018	0.00098479752
concentration of enzyme	ACN_R01900	0.0014692977	0.0025204954	0.0002215826	0.0027803086
concentration of enzyme	ICD_R00709	0.0010628917	0.0032528513	0.0040915357	0.0033590536
concentration of enzyme	KGD_R08549	0.00038164581	0.0004062939	0.00046651261	0.00035525913
concentration of enzyme	SCS_R00405	0.00047112262	0.00085096413	0.00060552954	0.00033107457
concentration of enzyme	SDH_R02164	0.00040563693	0.00084983306	0.00065598902	0.00057077832
concentration of enzyme	FUM_R01082	0.0026307732	0.0019043913	0.0024286486	0.0017653431
concentration of enzyme	MDH_R00342	0.00046595919	0.00056495042	0.00050756475	0.00061176046
concentration of enzyme	PPC_R00345	0.0013366045	0.00097381117	0.0010937387	0.00060066684
					
!!SBtab TableName='Gibbs free energies of reaction' TableID='ReactionGibbsFreeEnergy' TableType='QuantityMatrix' Unit='kJ/mol'					
!QuantityType	!Reaction	state_1	state_2	state_3	state_4
Gibbs energy of reaction	PTS_RPTSsy	0.50453267	0.39700227	1.0366552	0.089480916
Gibbs energy of reaction	PGI_R02740	-4.7355487	-5.9574053	-7.9721086	-4.0972692
Gibbs energy of reaction	PFK_R04779	3.9690454	4.2018721	0.42705687	2.2852431
Gibbs energy of reaction	ALD_R01070	0.75939308	0.19317513	1.1133505	0.21973605
Gibbs energy of reaction	TIM_R01015	4.1429428	4.9619155	4.7656809	2.0422122
Gibbs energy of reaction	GAP_R01061	3.7744266	6.4515938	8.7247185	8.4534154
Gibbs energy of reaction	PGK_R01512	5.8119575	6.1877563	7.8007188	7.0056727
Gibbs energy of reaction	PGM_R01518	0.0098171273	0.020027355	0.030568707	0.025429946
Gibbs energy of reaction	PGH_R00658	0.23199539	0.2475818	0.27312681	0.24475578
Gibbs energy of reaction	PYK_R00200	-2.3689272	-3.6304399	-5.1235798	-1.0295042
Gibbs energy of reaction	PDH_R00209	-0.38382437	1.4293226	-6.6618462	-3.4979218
Gibbs energy of reaction	ZWF_R00835	-5.607334	-3.6545261	-3.16545	-8.4035903
Gibbs energy of reaction	GLH_R02035	-1.857756	-5.9093273	-3.6137038	-1.5596827
Gibbs energy of reaction	PGD_R01528	-14.646036	-14.489373	-15.887026	-17.096214
Gibbs energy of reaction	RPI_R01056	-0.83553855	-0.55312202	-0.26257426	-0.25585315
Gibbs energy of reaction	RPE_R01529	-0.44666255	-0.44656807	-0.47460185	-0.47090981
Gibbs energy of reaction	TXT_R01641	-0.49276603	-0.31671378	-0.25921018	-0.37474536
Gibbs energy of reaction	TAL_R08575	-3.3057648	-2.5858136	-1.1634985	-1.7389892
Gibbs energy of reaction	TXT_R01067	-6.2473469	-6.1658487	-6.3165261	-6.3450522
Gibbs energy of reaction	FBP_R00762	-17.710585	-18.406352	-17.395915	-18.272458
Gibbs energy of reaction	CSN_R00351	-0.34617794	-0.3205511	-0.22250924	-0.2985233
Gibbs energy of reaction	ACN_R01325	-0.0082040076	-0.050565502	-0.0027919585	-0.078481972
Gibbs energy of reaction	ACN_R01900	-7.7185151	-7.749822	-7.7263659	-7.7426132
Gibbs energy of reaction	ICD_R00709	-5.6286553	-4.2778979	-0.075972275	-6.2775788
