!!!SBtab DocumentName='CMB result' Document='CMBresult' RelaxationAlpha='0.010000' CalculationTime='1938.982637 s'					
					
!!SBtab TableName='Metabolic fluxes' TableID='MetabolicFlux' TableType='QuantityMatrix' Unit='mM/s'					
!QuantityType	!Reaction	state_1	state_2	state_3	state_4
rate of reaction	PTS_RPTSsy	0.0011510632	0.0010273154	-0.00043427302	0.002437889
rate of reaction	PGI_R02740	0.084950269	0.20119786	0.17701251	0.13767467
rate of reaction	PFK_R04779	0.0048322631	0.0039377135	0.012751641	0.0073294278
rate of reaction	ALD_R01070	-0.012291876	-0.0054829808	-0.0067685035	-0.0021169129
rate of reaction	TIM_R01015	-0.012291876	-0.0054829808	-0.0067685035	-0.0021169129
rate of reaction	GAP_R01061	-0.00013139357	-0.00022061556	-0.00037247043	-0.00023903336
rate of reaction	PGK_R01512	-0.00013139357	-0.00022061556	-0.00037247043	-0.00023903336
rate of reaction	PGM_R01518	-0.00013139357	-0.00022061556	-0.00037247043	-0.00023903336
rate of reaction	PGH_R00658	-0.00013139357	-0.00022061556	-0.00037247043	-0.00023903336
rate of reaction	PYK_R00200	-0.001147642	-0.0010267202	0.00043457628	-0.0024363762
rate of reaction	PDH_R00209	3.4192562e-06	5.9439432e-07	3.0319098e-07	1.5121305e-06
rate of reaction	ZWF_R00835	0.0033063673	0.0014778751	0.0013755108	0.0028386888
rate of reaction	GLH_R02035	0.0033063682	0.0014756899	0.0013756671	0.0028385286
rate of reaction	PGD_R01528	0.0033064075	0.0014756627	0.0013756088	0.0028383258
rate of reaction	RPI_R01056	0.0011966465	0.00043174881	0.00037850037	0.000677514
rate of reaction	RPE_R01529	0.002116677	0.001032977	0.00099160892	0.002122066
rate of reaction	TXT_R01641	0.0011830161	0.0004236647	0.00037808008	0.0006659767
rate of reaction	TAL_R08575	0.0011769539	0.00041628619	0.0003755209	0.00063214694
rate of reaction	TXT_R01067	0.00093542426	0.00060665963	0.00061217347	0.001446655
rate of reaction	FBP_R00762	0.72780832	1.0958943	0.32016987	0.41849093
rate of reaction	CSN_R00351	3.4193615e-06	5.9446705e-07	3.0319747e-07	1.5121373e-06
rate of reaction	ACN_R01325	3.420984e-06	5.9584365e-07	3.0335991e-07	1.512344e-06
rate of reaction	ACN_R01900	3.4374907e-06	6.0378017e-07	3.0441815e-07	1.5132232e-06
rate of reaction	ICD_R00709	3.4375932e-06	6.0382737e-07	3.0442469e-07	1.5132284e-06
rate of reaction	KGD_R08549	1.5274262e-05	4.0581989e-06	2.5797835e-06	1.6842437e-06
rate of reaction	SCS_R00405	1.5104399e-05	3.415689e-06	2.5539461e-06	1.6668851e-06
rate of reaction	SDH_R02164	-0.00066977383	-0.0039483938	-0.00095842624	-0.00042171195
rate of reaction	FUM_R01082	-0.00067051288	-0.0039579062	-0.000960995	-0.00042206201
rate of reaction	MDH_R00342	-0.00067112716	-0.0039658013	-0.00096313603	-0.00042235226
rate of reaction	PPC_R00345	0.00052047811	0.00051838064	0.00027117661	0.0001417762
					
!!SBtab TableName='Metabolite concentrations' TableID='MetaboliteConcentration' TableType='QuantityMatrix' Unit='mM'					
!QuantityType	!Compound	state_1	state_2	state_3	state_4
concentration	_S__Malate	0.051557258	0.10153115	0.14102518	0.073033607
concentration	Acetyl_CoA	3.2287803e-06	4.589273e-07	1.7366079e-07	6.5727947e-07
concentration	Fumarate	0.061297797	0.11851416	0.16772229	0.08690889
concentration	cis_Aconitate	0.0018118051	0.0018873888	0.00088859164	0.00096300086
concentration	_6_Phospho_D_gluconate	0.0031373519	0.0010838018	0.0029908359	0.0020211359
concentration	Orthophosphate	0.014607609	0.014403491	0.0074291314	0.0099585256
concentration	Pyruvate	0.072396891	0.072392036	0.044041624	0.22031978
concentration	NADPplus	0.20727218	0.18003472	0.085454549	0.19355103
concentration	NADPH	0.1270584	0.11998185	0.14052552	0.056472878
concentration	NADH	0.0077267072	0.012994381	0.010355841	0.0049322383
concentration	NADplus	0.12787002	0.077519454	0.11355561	0.082544792
concentration	ATP	0.080341045	0.078705673	0.13763969	0.097472435
concentration	H2O	0.09391619	0.19220922	0.072270401	0.11949315
concentration	_2_Oxoglutarate	4.5344088	3.0742986	3.1053579	3.8330728
concentration	Oxaloacetate	0.065471134	0.10678821	0.11220298	0.079294459
concentration	Ubiquinone	8.6977971e-05	5.1530145e-05	0.0001701765	0.00013646785
concentration	D_Erythrose_4_phosphate	3.4739773	5.7602895	4.4881531	3.5683886
concentration	Ubiquinol	7.5697474	9.4945921	4.2351251	8.5920919
concentration	ADP	0.014592697	0.011904836	0.013335181	0.010449786
concentration	Isocitrate	1.1369675e-05	1.2056996e-05	5.6869019e-06	6.0879362e-06
concentration	D_Ribulose_5_phosphate	0.50424756	0.39125442	0.24492237	0.33712689
concentration	D_Xylulose_5_phosphate	0.12052149	0.094743416	0.058886776	0.080236
concentration	D_Glucose_6_phosphate	0.054924051	0.10734985	0.18217721	0.048430626
concentration	_3_Phospho_D_glyceroyl_phosphate	0.0025812731	0.0027708137	0.0025432217	0.0043185056
concentration	CoA	0.0049982775	0.0039544905	0.00068547282	0.0016554409
concentration	CO2	0.00010850226	7.9103901e-05	6.8259987e-05	8.3629708e-05
concentration	D_Ribose_5_phosphate	0.38046216	0.40031591	0.26740805	0.34193736
concentration	Glycerone_phosphate	0.016528794	0.015598372	0.0098936871	0.0222837
concentration	D_Glucose	8.2220477	8.4150619	3.8470234	8.6387592
concentration	D_Fructose_1_6_bisphosphate	0.12700443	0.19818554	0.051038808	0.12405481
concentration	D_Glyceraldehyde_3_phosphate	0.08958432	0.11627143	0.067854602	0.051239383
concentration	Phosphoenolpyruvate	0.047087127	0.064063244	0.10964471	0.12093883
concentration	Citrate	0.00015557581	0.00015764703	7.4051826e-05	9.0908762e-05
concentration	Succinyl_CoA	11.448616	13.139692	7.3268745	18.721887
concentration	_3_Phospho_D_glycerate	0.012517013	0.014452383	0.023931189	0.025992925
concentration	D_Glucono_1_5_lactone_6_phosphate	0.36671779	0.89291587	0.62069529	0.45199142
concentration	D_Fructose_6_phosphate	0.1190045	0.14148562	0.10681861	0.13460658
concentration	_2_Phospho_D_glycerate	0.0028418326	0.0038451758	0.0065827655	0.0072794166
concentration	Succinate	19.903149	24.295936	25.423259	40.311653
concentration	Sedoheptulose_7_phosphate	0.23500975	0.15635271	0.11153232	0.24879356
					
!!SBtab TableName='Enzyme concentrations' TableID='EnzymeConcentration' TableType='QuantityMatrix' Unit='mM'					
!QuantityType	!Reaction	state_1	state_2	state_3	state_4
concentration of enzyme	PTS_RPTSsy	0.00044048239	0.00090256547	0.00054382743	0.0007634127
concentration of enzyme	PGI_R02740	0.0010487506	0.0021766974	0.0017608539	0.0017984503
concentration of enzyme	PFK_R04779	0.00089245601	0.00083613402	0.00084539027	0.00073012919
concentration of enzyme	ALD_R01070	0.0010470797	0.0016979818	0.00070964054	0.00069153383
concentration of enzyme	TIM_R01015	0.0018485033	0.00067657182	0.0010926151	0.00073514416
concentration of enzyme	GAP_R01061	0.00083061427	0.00076739993	0.0011875971	0.00073926744
