!!!SBtab DocumentName='CMB result' Document='CMBresult' RelaxationAlpha='0.500000' CalculationTime='1339.304043 s'					
					
!!SBtab TableName='Metabolic fluxes' TableID='MetabolicFlux' TableType='QuantityMatrix' Unit='mM/s'					
!QuantityType	!Reaction	state_1	state_2	state_3	state_4
rate of reaction	PTS_RPTSsy	-0.00062087198	-0.0011198689	-0.0022037453	-0.00024752416
rate of reaction	PGI_R02740	0.084950269	0.20119786	0.17701251	0.13767467
rate of reaction	PFK_R04779	-0.00046572886	-0.00045932471	-3.5667498e-05	-0.00018978683
rate of reaction	ALD_R01070	-0.012291876	-0.0054829808	-0.0067685035	-0.0021169129
rate of reaction	TIM_R01015	-0.012291876	-0.0054829808	-0.0067685035	-0.0021169129
rate of reaction	GAP_R01061	-3.0063511e-06	-5.668636e-06	-1.4066715e-05	-7.1779785e-06
rate of reaction	PGK_R01512	-3.006338e-06	-5.6686355e-06	-1.4066715e-05	-7.1783921e-06
rate of reaction	PGM_R01518	-3.0063363e-06	-5.6686373e-06	-1.4066715e-05	-7.178501e-06
rate of reaction	PGH_R00658	-3.0063362e-06	-5.6686375e-06	-1.4066715e-05	-7.1785023e-06
rate of reaction	PYK_R00200	0.00062093071	0.0011197834	0.002203967	0.00024795895
rate of reaction	PDH_R00209	6.3847245e-08	-8.404791e-08	2.2171966e-07	4.4118068e-07
rate of reaction	ZWF_R00835	0.0017443008	0.0013038683	0.0010634684	0.0012394958
rate of reaction	GLH_R02035	0.0017446288	0.0013040544	0.0010634688	0.0012395158
rate of reaction	PGD_R01528	0.0017489088	0.0013066995	0.0010634747	0.0012397681
rate of reaction	RPI_R01056	0.00083516991	0.00054901018	0.00035465379	0.00040326433
rate of reaction	RPE_R01529	0.0009402957	0.00077714587	0.00070883358	0.00083774354
rate of reaction	TXT_R01641	0.00082108283	0.00054973369	0.00035465779	0.00040746583
rate of reaction	TAL_R08575	0.00082381476	0.00055764409	0.00035466477	0.00041098388
rate of reaction	TXT_R01067	0.00012578799	0.00023216399	0.0003541789	0.00043055916
rate of reaction	FBP_R00762	0.80379052	1.2058605	0.33838963	0.44865929
rate of reaction	CSN_R00351	8.6121898e-06	1.8652451e-05	2.5598489e-07	2.4897827e-05
rate of reaction	ACN_R01325	1.1787497e-05	2.5042297e-05	2.7352147e-07	3.1728892e-05
rate of reaction	ACN_R01900	5.0654852e-05	0.00010012976	4.9038457e-07	0.00011136309
rate of reaction	ICD_R00709	5.0901667e-05	0.0001006017	4.9177226e-07	0.000111867
rate of reaction	KGD_R08549	1.6307272e-05	1.8176815e-05	7.583237e-06	1.5414578e-05
rate of reaction	SCS_R00405	6.3633926e-06	3.8900034e-06	6.5564213e-06	2.0683402e-06
rate of reaction	SDH_R02164	6.6437932e-06	4.1567252e-06	6.5602077e-06	2.2124107e-06
rate of reaction	FUM_R01082	3.5412709e-05	1.706839e-05	7.9656699e-06	2.241296e-05
rate of reaction	MDH_R00342	5.9534622e-05	2.7894314e-05	9.1440105e-06	3.9350001e-05
rate of reaction	PPC_R00345	-2.5692192e-05	-1.668157e-05	-2.316208e-05	-1.6476091e-05
					
!!SBtab TableName='Metabolite concentrations' TableID='MetaboliteConcentration' TableType='QuantityMatrix' Unit='mM'					
!QuantityType	!Compound	state_1	state_2	state_3	state_4
concentration	_S__Malate	0.13675633	0.10424792	0.028509383	0.084742903
concentration	Acetyl_CoA	0.02359605	0.033842475	0.00067263506	0.043689596
concentration	Fumarate	0.1624682	0.11421802	0.032878811	0.11239874
concentration	cis_Aconitate	0.10480521	0.12821744	0.006007174	0.12673567
concentration	_6_Phospho_D_gluconate	0.073220861	0.063188374	0.13523916	0.047607925
concentration	Orthophosphate	0.0014482806	0.0014489351	0.00074550748	0.00098999189
concentration	Pyruvate	0.14627469	0.10018189	0.062681035	0.354768
concentration	NADPplus	0.002137541	0.0017354433	0.00085331121	0.0019517371
concentration	NADPH	0.0012642275	0.0012070156	0.0014072539	0.0005644329
concentration	NADH	0.00076466498	0.0013207907	0.0011819002	0.00049718412
concentration	NADplus	0.0013115424	0.00076267065	0.00097860299	0.00082193702
concentration	ATP	0.00079799252	0.00078897157	0.0014129629	0.00097397627
concentration	H2O	0.00093947823	0.0019227004	0.00072295611	0.0011952819
concentration	_2_Oxoglutarate	0.37293533	0.37184234	0.26870386	0.43897526
concentration	Oxaloacetate	0.00066657276	0.0011081342	0.0010452456	0.00078200053
concentration	Ubiquinone	0.0008897005	0.00048871626	0.0017095044	0.0013316995
concentration	D_Erythrose_4_phosphate	3.5842655	5.6237916	4.521256	3.6071673
concentration	Ubiquinol	0.00074146163	0.0010002805	0.00042200211	0.00088066751
concentration	ADP	0.0014814427	0.0011842322	0.0013099291	0.0010334316
concentration	Isocitrate	0.00074322087	0.00077510457	4.978392e-05	0.00082162708
concentration	D_Ribulose_5_phosphate	0.42051685	0.41253866	0.23274284	0.2830797
concentration	D_Xylulose_5_phosphate	0.10271577	0.10274893	0.056290376	0.06858442
concentration	D_Glucose_6_phosphate	0.055189624	0.10515735	0.18680833	0.043793192
concentration	_3_Phospho_D_glyceroyl_phosphate	0.00039318619	0.00055355298	0.00075886397	0.0010670776
concentration	CoA	0.072114591	0.14239041	0.066845565	0.14333915
concentration	CO2	0.0010825419	0.00079289026	0.00076532007	0.00086766615
concentration	D_Ribose_5_phosphate	0.37506285	0.39330891	0.23930911	0.2912689
concentration	Glycerone_phosphate	0.016809545	0.016295275	0.0096203107	0.023461415
concentration	D_Glucose	8.1386907	8.5919918	3.7551267	9.595147
concentration	D_Fructose_1_6_bisphosphate	0.12490374	0.19001587	0.050772487	0.12021123
concentration	D_Glyceraldehyde_3_phosphate	0.08643014	0.11773584	0.068944055	0.052223185
concentration	Phosphoenolpyruvate	0.045992631	0.065685734	0.11512978	0.12225866
concentration	Citrate	0.008787205	0.010943069	0.00050350021	0.0109121
concentration	Succinyl_CoA	0.14190668	0.16247106	0.22406832	0.22623755
concentration	_3_Phospho_D_glycerate	0.014917254	0.019846417	0.032765924	0.038508668
concentration	D_Glucono_1_5_lactone_6_phosphate	0.015407288	0.050476763	0.042847032	0.0092500948
concentration	D_Fructose_6_phosphate	0.11710178	0.13508664	0.10093815	0.12944628
concentration	_2_Phospho_D_glycerate	0.0029252571	0.0039424094	0.0066017246	0.0076988259
concentration	Succinate	0.0017068472	0.0023460072	0.00010574438	0.00073429267
concentration	Sedoheptulose_7_phosphate	0.16822129	0.17932409	0.11430697	0.18818478
					
!!SBtab TableName='Enzyme concentrations' TableID='EnzymeConcentration' TableType='QuantityMatrix' Unit='mM'					
!QuantityType	!Reaction	state_1	state_2	state_3	state_4
concentration of enzyme	PTS_RPTSsy	0.00044192416	0.00089401513	0.00055762829	0.00078701631
concentration of enzyme	PGI_R02740	0.0010427771	0.0022424001	0.0018494506	0.0018071888
concentration of enzyme	PFK_R04779	0.00089465635	0.00082619275	0.00083712738	0.00075802207
concentration of enzyme	ALD_R01070	0.0010519778	0.001700095	0.00073195464	0.00069889857
concentration of enzyme	TIM_R01015	0.0019179562	0.00065471911	0.0010892482	0.00072308125
concentration of enzyme	GAP_R01061	0.00081428159	0.0008373157	0.0011704318	0.00075339001
concentration of enzyme	PGK_R01512	0.00089000995	0.0011974343	0.00087041779	0.00063116555
concentration of enzyme	PGM_R01518	0.0014575054	0.0009299329	0.00091552298	0.00051722264
concentration of enzyme	PGH_R00658	0.00081857526	0.0009048908	0.001161408	0.00073411206
concentration of enzyme	PYK_R00200	0.0012722734	0.0013878804	0.001206116	0.00086034397
concentration of enzyme	PDH_R00209	0.00073629109	0.000233352	0.0006388639	0.00088357486
concentration of enzyme	ZWF_R00835	0.0014543157	0.001494663	0.0013426261	0.0010297994
concentration of enzyme	GLH_R02035	0.0012495563	0.00038932512	0.00046485445	0.0010551649
concentration of enzyme	PGD_R01528	0.0023071626	0.0023864329	0.0012533776	0.0017592775
concentration of enzyme	RPI_R01056	0.00078424167	0.00076298258	0.0010658909	0.0012034032
concentration of enzyme	RPE_R01529	0.0012980459	0.0021547056	0.0010135492	0.0011288937
concentration of enzyme	TXT_R01641	0.00033512499	0.00047501628	0.00074468938	0.00029183732
concentration of enzyme	TAL_R08575	0.00048220005	0.00045318704	0.00078990125	0.00056202917
concentration of enzyme	TXT_R01067	0.00091709285	0.0023926517	0.0012171144	0.0013351199
concentration of enzyme	FBP_R00762	0.0022923064	0.0024063521	0.0022083715	0.0013582021
concentration of enzyme	CSN_R00351	0.00051088146	0.00078040322	0.00075662374	0.0010531004
concentration of enzyme	ACN_R01325	0.0037075257	0.0012311776	0.0014422569	0.0011195459
concentration of enzyme	ACN_R01900	0.0028136178	0.0025556358	0.0046956873	0.003525282
concentration of enzyme	ICD_R00709	0.0011443743	0.003646567	0.0040385483	0.0033582109
concentration of enzyme	KGD_R08549	0.00038066659	0.00042569784	0.00056616631	0.00038288657
concentration of enzyme	SCS_R00405	0.00052314904	0.00086252334	0.00060865639	0.00041195828
concentration of enzyme	SDH_R02164	0.00040913923	0.00090203274	0.00066578016	0.00057836437
concentration of enzyme	FUM_R01082	0.0026450115	0.0022313421	0.0027950357	0.0017952716
concentration of enzyme	MDH_R00342	0.00050968891	0.00059243898	0.00060826944	0.0006055629
concentration of enzyme	PPC_R00345	0.0014024566	0.0010199652	0.0010448666	0.00063649962
					
!!SBtab TableName='Gibbs free energies of reaction' TableID='ReactionGibbsFreeEnergy' TableType='QuantityMatrix' Unit='kJ/mol'					
!QuantityType	!Reaction	state_1	state_2	state_3	state_4
Gibbs energy of reaction	PTS_RPTSsy	1.4341199	1.076114	1.9988492	0.2253688
Gibbs energy of reaction	PGI_R02740	-7.6361023	-8.8800675	-11.026928	-6.8142807
Gibbs energy of reaction	PFK_R04779	4.1232772	4.2822737	0.53860237	2.3931274
Gibbs energy of reaction	ALD_R01070	0.44757738	0.096733529	0.73532827	0.12009064
Gibbs energy of reaction	TIM_R01015	4.1888874	5.0321757	5.0119736	2.1134546
Gibbs energy of reaction	GAP_R01061	13.496743	16.276141	19.138655	18.255
Gibbs energy of reaction	PGK_R01512	1.9851903	2.371867	4.0271556	3.2479418
Gibbs energy of reaction	PGM_R01518	0.025345549	0.057335874	0.092470812	0.073240664
Gibbs energy of reaction	PGH_R00658	0.60287298	0.74662991	0.85976799	0.62759381
Gibbs energy of reaction	PYK_R00200	-3.1101214	-4.404996	-5.7641369	-1.9506161
Gibbs energy of reaction	PDH_R00209	-0.42242152	1.6502805	-6.0070944	-3.2517698
Gibbs energy of reaction	ZWF_R00835	-9.8453567	-8.0999914	-7.7904164	-12.310354
Gibbs energy of reaction	GLH_R02035	-1.0522868	-4.3592958	-2.0667536	-0.8546502
Gibbs energy of reaction	PGD_R01528	-17.757404	-17.809695	-19.062381	-19.993408
Gibbs energy of reaction	RPI_R01056	-0.53574677	-0.37050856	-0.18320722	-0.18148067
Gibbs energy of reaction	RPE_R01529	-0.096212062	-0.047928256	-0.12073304	-0.11640114
Gibbs energy of reaction	TXT_R01641	-1.6862441	-0.88009507	-0.59960374	-1.0291196
Gibbs energy of reaction	TAL_R08575	-2.8428251	-2.2967012	-1.1171376	-1.6076661
Gibbs energy of reaction	TXT_R01067	-0.0098225902	-0.0068366779	-0.023136457	-0.024836147
Gibbs energy of reaction	FBP_R00762	-19.966842	-20.651628	-19.749719	-20.566551
Gibbs energy of reaction	CSN_R00351	-1.0951008	-1.0187369	-0.66764286	-0.7783004
Gibbs energy of reaction	ACN_R01325	-0.010193942	-0.054283644	-0.0094037711	-0.076073431
Gibbs energy of reaction	ACN_R01900	-0.42523136	-0.82092082	-0.038891222	-0.64761038
Gibbs energy of reaction	ICD_R00709	-6.9539281	-5.1384421	-0.11942627	-7.2556109
