!!!SBtab DocumentName='CMB result' Document='CMBresult' RelaxationAlpha='0.100000' CalculationTime='446.331500 s'					
					
!!SBtab TableName='Metabolic fluxes' TableID='Flux' TableType='QuantityMatrix' Unit='mM/s'					
!QuantityType	!Reaction	state_1	state_2	state_3	state_4
rate of reaction	PTS_RPTSsy	0.0011510632	0.0010273154	-0.00043427302	0.002437889
rate of reaction	PGI_R02740	0.084950269	0.20119786	0.17701251	0.13767467
rate of reaction	PFK_R04779	0.0048322631	0.0039377135	0.012751641	0.0073294278
rate of reaction	ALD_R01070	-0.012291876	-0.0054829808	-0.0067685035	-0.0021169129
rate of reaction	TIM_R01015	-0.012291876	-0.0054829808	-0.0067685035	-0.0021169129
rate of reaction	GAP_R01061	-0.00013139357	-0.00022061556	-0.00037247043	-0.00023903336
rate of reaction	PGK_R01512	-0.00013139357	-0.00022061556	-0.00037247043	-0.00023903336
rate of reaction	PGM_R01518	-0.00013139357	-0.00022061556	-0.00037247043	-0.00023903336
rate of reaction	PGH_R00658	-0.00013139357	-0.00022061556	-0.00037247043	-0.00023903336
rate of reaction	PYK_R00200	-0.001147642	-0.0010267202	0.00043457628	-0.0024363762
rate of reaction	PDH_R00209	3.4192562e-06	5.9439432e-07	3.0319098e-07	1.5121305e-06
rate of reaction	ZWF_R00835	0.0033063673	0.0014778751	0.0013755108	0.0028386888
rate of reaction	GLH_R02035	0.0033063682	0.0014756899	0.0013756671	0.0028385286
rate of reaction	PGD_R01528	0.0033064075	0.0014756627	0.0013756088	0.0028383258
rate of reaction	RPI_R01056	0.0011966465	0.00043174881	0.00037850037	0.000677514
rate of reaction	RPE_R01529	0.002116677	0.001032977	0.00099160892	0.002122066
rate of reaction	TXT_R01641	0.0011830161	0.0004236647	0.00037808008	0.0006659767
rate of reaction	TAL_R08575	0.0011769539	0.00041628619	0.0003755209	0.00063214694
rate of reaction	TXT_R01067	0.00093542426	0.00060665963	0.00061217347	0.001446655
rate of reaction	FBP_R00762	0.72780832	1.0958943	0.32016987	0.41849093
rate of reaction	CSN_R00351	3.4193615e-06	5.9446705e-07	3.0319747e-07	1.5121373e-06
rate of reaction	ACN_R01325	3.420984e-06	5.9584365e-07	3.0335991e-07	1.512344e-06
rate of reaction	ACN_R01900	3.4374907e-06	6.0378017e-07	3.0441815e-07	1.5132232e-06
rate of reaction	ICD_R00709	3.4375932e-06	6.0382737e-07	3.0442469e-07	1.5132284e-06
rate of reaction	KGD_R08549	1.5274262e-05	4.0581989e-06	2.5797835e-06	1.6842437e-06
rate of reaction	SCS_R00405	1.5104399e-05	3.415689e-06	2.5539461e-06	1.6668851e-06
rate of reaction	SDH_R02164	-0.00066977383	-0.0039483938	-0.00095842624	-0.00042171195
rate of reaction	FUM_R01082	-0.00067051288	-0.0039579062	-0.000960995	-0.00042206201
rate of reaction	MDH_R00342	-0.00067112716	-0.0039658013	-0.00096313603	-0.00042235226
rate of reaction	PPC_R00345	0.00052047811	0.00051838064	0.00027117661	0.0001417762
					
!!SBtab TableName='Metabolite concentrations' TableID='MetaboliteConcentration' TableType='QuantityMatrix' Unit='mM'					
!QuantityType	!Compound	state_1	state_2	state_3	state_4
concentration	_S__Malate	0.051499762	0.10000484	0.14359403	0.074912349
concentration	Acetyl_CoA	3.185387e-06	4.5033261e-07	1.7164547e-07	6.4960267e-07
concentration	Fumarate	0.060553963	0.11570204	0.16931071	0.088260786
concentration	cis_Aconitate	0.0017442245	0.001842565	0.00086402068	0.00092118758
concentration	_6_Phospho_D_gluconate	0.0031100464	0.0010742645	0.0029616821	0.0020070544
concentration	Orthophosphate	0.014696273	0.014504268	0.0073601483	0.0099402612
concentration	Pyruvate	0.071564024	0.070395035	0.042136471	0.22512161
concentration	NADPplus	0.20337964	0.17495748	0.082895535	0.19402702
concentration	NADPH	0.12828281	0.12222802	0.14345506	0.056302821
concentration	NADH	0.0077872481	0.013368945	0.010461973	0.0049142578
concentration	NADplus	0.12413504	0.07457666	0.11120256	0.079984593
concentration	ATP	0.081154805	0.078713273	0.13541693	0.099492637
concentration	H2O	0.093917557	0.19221374	0.072274048	0.11949258
concentration	_2_Oxoglutarate	4.5918832	3.0796887	3.1474628	3.9099971
concentration	Oxaloacetate	0.065276334	0.10974515	0.11054841	0.077657431
concentration	Ubiquinone	8.7337052e-05	5.1659247e-05	0.00016807109	0.00013347594
concentration	D_Erythrose_4_phosphate	3.4694611	5.571662	4.526915	3.5939507
concentration	Ubiquinol	7.4983695	9.3361647	4.315081	8.8523632
concentration	ADP	0.014559171	0.011914892	0.013403256	0.010255276
concentration	Isocitrate	1.1568699e-05	1.2310713e-05	5.7770916e-06	6.1283388e-06
concentration	D_Ribulose_5_phosphate	0.50586369	0.38586556	0.24471369	0.33341276
concentration	D_Xylulose_5_phosphate	0.12415383	0.095328624	0.060260955	0.08168037
concentration	D_Glucose_6_phosphate	0.053048086	0.10037158	0.16818088	0.047111256
concentration	_3_Phospho_D_glyceroyl_phosphate	0.0025303772	0.002754713	0.0025230713	0.0042711315
concentration	CoA	0.0049327388	0.0038920491	0.00069363363	0.0016146091
concentration	CO2	0.00011051938	7.993082e-05	7.0392931e-05	8.5831899e-05
concentration	D_Ribose_5_phosphate	0.37898781	0.39106125	0.26229898	0.33383419
concentration	Glycerone_phosphate	0.016889069	0.015317587	0.01017733	0.022357429
concentration	D_Glucose	8.3592011	8.7826625	4.0719894	8.8971375
concentration	D_Fructose_1_6_bisphosphate	0.12313676	0.19831836	0.049782546	0.12382333
concentration	D_Glyceraldehyde_3_phosphate	0.095666975	0.12348837	0.073769773	0.052846541
concentration	Phosphoenolpyruvate	0.04810459	0.064748336	0.11148698	0.12039587
concentration	Citrate	0.00015507429	0.00015792918	7.3838559e-05	9.2149606e-05
concentration	Succinyl_CoA	11.663218	13.389157	7.4066546	18.966287
concentration	_3_Phospho_D_glycerate	0.01228647	0.014280025	0.023757274	0.025522749
concentration	D_Glucono_1_5_lactone_6_phosphate	0.37059528	0.91106647	0.63378526	0.44814514
concentration	D_Fructose_6_phosphate	0.11414075	0.14284835	0.10302238	0.12786255
concentration	_2_Phospho_D_glycerate	0.0029011361	0.0038917998	0.0067212103	0.0072722378
concentration	Succinate	19.892024	24.427432	25.074866	38.878472
concentration	Sedoheptulose_7_phosphate	0.24699001	0.16182446	0.1155309	0.26643378
					
!!SBtab TableName='Enzyme concentrations' TableID='EnzymeConcentration' TableType='QuantityMatrix' Unit='mM'					
!QuantityType	!Reaction	state_1	state_2	state_3	state_4
concentration of enzyme	PTS_RPTSsy	0.00044426402	0.00091327587	0.00052578498	0.00081200175
concentration of enzyme	PGI_R02740	0.00078541613	0.0016955087	0.0013895148	0.0013303489
concentration of enzyme	PFK_R04779	0.0008995982	0.00084170939	0.00081072815	0.00072449806
concentration of enzyme	ALD_R01070	0.0010567608	0.0016717448	0.00075519601	0.00069543615
concentration of enzyme	TIM_R01015	0.0018904003	0.00069167213	0.001150195	0.00067819581
concentration of enzyme	GAP_R01061	0.00070673312	0.00070999928	0.001048974	0.00061859118
concentration of enzyme	PGK_R01512	0.00089395298	0.0010564142	0.00065709953	0.00050690075
