!!!SBtab									
									
!!SBtab TableName='Metabolic fluxes' TableID='MetabolicFluxData' TableType='QuantityMatrix' Unit='mM/s'									
!QuantityType	!Reaction	state_1_Mean	state_1_Std	state_2_Mean	state_2_Std	state_3_Mean	state_3_Std	state_4_Mean	state_4_Std
rate of reaction	PTS_RPTSsy	-0.0093480786	0.011189156	-0.016517705	0.011164406	0.0016205037	0.011045798	0.0041755247	0.011446521
rate of reaction	PGI_R02740	0.097077078	0.027948997	0.28498311	0.051198516	0.24581264	0.046361444	0.16910522	0.038493878
rate of reaction	PFK_R04779	0.0030058494	0.011925396	0.010455032	0.011746486	0.0035725077	0.013509271	0.014508466	0.012424829
rate of reaction	ALD_R01070	-0.0068922393	0.013417318	-0.01254068	0.012055539	-0.013294961	0.012312644	0.009992188	0.011382326
rate of reaction	TIM_R01015	-0.021047379	0.013417318	-0.011636657	0.012055539	-0.017351152	0.012312644	-0.011259638	0.011382326
rate of reaction	GAP_R01061	-0.021637062	0.010985222	0.0052006194	0.011003066	0.014041122	0.011033437	0.0085512588	0.01100675
rate of reaction	PGK_R01512	0.000612231	0.010985222	-0.0073816922	0.011003066	-0.0013249823	0.011033437	-0.0037071752	0.01100675
rate of reaction	PGM_R01518	-0.00065121434	0.010985222	0.0099778242	0.011003066	-0.024098476	0.011033437	0.012815676	0.01100675
rate of reaction	PGH_R00658	-0.0077872032	0.010985222	-0.002290473	0.011003066	-9.4076808e-05	0.011033437	0.00069586912	0.01100675
rate of reaction	PYK_R00200	0.0039716226	0.011188472	0.0025551083	0.011164287	-0.012109314	0.011045858	-0.018746962	0.011446218
rate of reaction	PDH_R00209	0.00087256215	0.010959627	0.015565728	0.010959062	0.0078354733	0.010959004	-0.015934449	0.010959246
rate of reaction	ZWF_R00835	0.0088793467	0.011620217	-0.011914573	0.011254518	-0.0055541362	0.011234045	-0.018016725	0.011526681
rate of reaction	GLH_R02035	-0.024121894	0.011620217	-0.0089730963	0.011254081	-0.009358009	0.011234077	-0.01402435	0.011526649
rate of reaction	PGD_R01528	0.0084658813	0.011620225	0.016213465	0.011254076	0.0028985034	0.011234065	0.0012468757	0.011526608
rate of reaction	RPI_R01056	-0.0024426741	0.011198272	0.0017057778	0.011045293	0.0074182583	0.011034643	-0.010478971	0.011094446
rate of reaction	RPE_R01529	0.0032231017	0.011382279	0.032610532	0.011165539	-0.0031028481	0.011157265	-0.028992111	0.011383356
rate of reaction	TXT_R01641	0.013663873	0.011195546	0.0034507204	0.011043676	0.012090269	0.011034559	0.019438367	0.011092139
rate of reaction	TAL_R08575	-0.011775591	0.011194334	0.0016937317	0.0110422	0.00099759329	0.011034047	-0.002509287	0.011085373
rate of reaction	TXT_R01067	-0.004366882	0.011146028	-0.011253312	0.011080275	0.0015586641	0.011081378	0.01406882	0.011248274
rate of reaction	FBP_R00762	0.80960364	0.15652061	0.93256503	0.23013781	0.45785846	0.074992918	0.38943607	0.09465713
rate of reaction	CSN_R00351	0.0097261838	0.010959627	-0.016581982	0.010959062	0.0074016138	0.010959004	-0.0018454651	0.010959246
rate of reaction	ACN_R01325	0.00018478147	0.010959627	-0.012459403	0.010959062	-0.01694051	0.010959004	-0.0008895589	0.010959246
rate of reaction	ACN_R01900	0.0098949615	0.010959631	0.013942641	0.010959064	0.0038757592	0.010959004	-0.00041184216	0.010959246
rate of reaction	ICD_R00709	0.012659442	0.010959631	-0.012537206	0.010959064	-0.0010127487	0.010959004	0.022921564	0.010959246
rate of reaction	KGD_R08549	0.0095799878	0.010961998	-0.0057625721	0.010959755	0.0069990417	0.010959459	-0.0044985207	0.01095928
rate of reaction	SCS_R00405	-0.0051278399	0.010961964	0.017299661	0.010959626	-0.0094550126	0.010959454	0.032414496	0.010959277
rate of reaction	SDH_R02164	0.005947462	0.011092898	0.0028497787	0.011748622	-0.010842853	0.011150628	-0.01905603	0.011043286
rate of reaction	FUM_R01082	0.0086042908	0.011093046	0.0028406295	0.011750524	-0.014600692	0.011151142	0.0027833532	0.011043356
rate of reaction	MDH_R00342	0.0027066639	0.011093169	-0.020686762	0.011752103	-0.0030333459	0.01115157	-0.016649019	0.011043414
rate of reaction	PPC_R00345	0.013301871	0.011063039	-0.0015878538	0.011062619	-0.018677101	0.011013178	0.005075752	0.010987298
									
!!SBtab TableName='Metabolite concentrations' TableID='MetaboliteConcentrationData' TableType='QuantityMatrix' Unit='mM'									
!QuantityType	!Compound	state_1_Mean	state_1_Std	state_2_Mean	state_2_Std	state_3_Mean	state_3_Std	state_4_Mean	state_4_Std
concentration	_S__Malate	0.038488099	0.007075931	0.11117548	0.020439305	0.10285791	0.018910144	0.085509251	0.01572064
concentration	Acetyl_CoA	3.3116345e-06	6.0883489e-07	4.4748532e-07	8.2268944e-08	1.5249443e-07	2.803568e-08	6.4746067e-07	1.1903386e-07
concentration	Fumarate	0.050535844	0.0092908758	0.12986539	0.023875394	0.15358756	0.02823665	0.10076088	0.01852461
concentration	cis_Aconitate	0.0026375759	0.00048491107	0.0017426062	0.00032037336	0.00086503299	0.00015903393	0.0010922185	0.00020080136
concentration	_6_Phospho_D_gluconate	0.0037727882	0.00069361672	0.00070516643	0.00012964291	0.0028738922	0.00052835717	0.0017873208	0.00032859401
concentration	Orthophosphate	0.019918104	0.0036618886	0.015058071	0.0027683848	0.010149491	0.001865956	0.01256147	0.0023093917
concentration	Pyruvate	0.067442076	0.01239904	0.063079532	0.011596998	0.031651887	0.0058191123	0.27682461	0.050893443
concentration	NADPplus	0.16944231	0.031151503	0.18585955	0.034169766	0.11031886	0.020281818	0.2131977	0.03919581
concentration	NADPH	0.099733104	0.018335657	0.15483294	0.02846561	0.15760857	0.028975902	0.065986758	0.012131484
concentration	NADH	0.0085572876	0.0015732338	0.012889706	0.0023697369	0.011733592	0.0021571886	0.0051661042	0.00094977403
concentration	NADplus	0.16548831	0.03042457	0.061058887	0.011225508	0.12578292	0.023124844	0.07476567	0.013745463
concentration	ATP	0.12458223	0.0229041	0.07753883	0.0142553	0.14547222	0.026744667	0.10411472	0.019141205
concentration	H2O	0.11151342	0.020501435	0.28708976	0.052780661	0.072705775	0.013366756	0.13448795	0.024725239
concentration	_2_Oxoglutarate	5.0649762	0.93118193	4.0794086	0.74998804	1.8044375	0.33174086	3.6871081	0.67786468
concentration	Oxaloacetate	0.11934407	0.021941079	0.12838276	0.023602816	0.1020585	0.018763174	0.08383459	0.015412758
concentration	Ubiquinone	8.3212728e-05	1.5298431e-05	6.8986611e-05	1.2682998e-05	0.00017240538	3.1696254e-05	0.00012273154	2.2563855e-05
concentration	D_Erythrose_4_phosphate	3.0057316	0.55259548	5.3967793	0.99218302	5.2720005	0.96924277	3.9926994	0.7340468
concentration	Ubiquinol	6.4237731	1.180993	7.8397036	1.4413079	4.2373758	0.77902987	7.6445864	1.4054362
concentration	ADP	0.010522423	0.0019345185	0.01065562	0.0019590064	0.013180979	0.0024232866	0.011873983	0.002182999
concentration	Isocitrate	1.5265287e-05	2.8064811e-06	1.1531573e-05	2.1200479e-06	4.9081049e-06	9.0234158e-07	5.9378728e-06	1.0916616e-06
concentration	D_Ribulose_5_phosphate	0.38006515	0.069873931	0.30144431	0.055419706	0.21613296	0.03973545	0.39639908	0.072876879
concentration	D_Xylulose_5_phosphate	0.10513408	0.019328611	0.099257275	0.018248177	0.067324079	0.012377347	0.079415519	0.014600324
concentration	D_Glucose_6_phosphate	0.06800893	0.012503254	0.099920058	0.018370028	0.1457426	0.026794376	0.038763861	0.0071266291
concentration	_3_Phospho_D_glyceroyl_phosphate	0.0024211776	0.00044512684	0.0031373058	0.00057678503	0.003043049	0.00055945618	0.0050580048	0.00092990025
concentration	CoA	0.009334546	0.0017161306	0.0034144744	0.00062774173	0.00060093335	0.00011047994	0.0013578387	0.00024963491
