!!!SBtab Document='MBresult' DocumentName='MB result' CalculationTime='6.995527 s'				
				
!!SBtab TableID='Reaction' TableType='Reaction' TableName='Reaction'				
!ID	!ReactionFormula	!Name	!IsReversible	
E1	X1 <=> S4	E1	True	
E2	X2 <=> S4	E2	True	
E3	S4 <=> X3	E3	True	
				
!!SBtab TableID='Compound' TableType='Compound' TableName='Compound'				
!ID	!Name	!IsConstant		
X1	X1	True		
X2	X2	True		
X3	X3	True		
S4	S4	False		
				
!!SBtab TableID='Parameter' TableType='Quantity' TableName='Parameter' StandardConcentration='mM'				
!QuantityType	!Reaction	!Compound	!Mode	!Unit
equilibrium constant	E1		1.5170938	dimensionless
equilibrium constant	E2		46.402316	dimensionless
equilibrium constant	E3		0.48105703	dimensionless
catalytic rate constant geometric mean	E1		228.40469	1/s
catalytic rate constant geometric mean	E2		6.6964303	1/s
catalytic rate constant geometric mean	E3		175.92845	1/s
Michaelis constant	E1	X1	0.39284813	mM
Michaelis constant	E2	X2	0.0070311799	mM
Michaelis constant	E3	X3	7.8484171	mM
Michaelis constant	E1	S4	0.023586596	mM
Michaelis constant	E2	S4	0.061230188	mM
Michaelis constant	E3	S4	3.0714321	mM
substrate catalytic rate constant	E1		1148.1297	1/s
substrate catalytic rate constant	E2		15.457687	1/s
substrate catalytic rate constant	E3		76.333254	1/s
product catalytic rate constant	E1		45.437988	1/s
product catalytic rate constant	E2		2.9009632	1/s
product catalytic rate constant	E3		405.46967	1/s
				
!!SBtab TableID='ConcentrationConstraint' TableType='Quantity' TableName='Metabolite concentration constraints'				
!QuantityType	!Compound	!Min	!Max	
concentration	X1	1e-06	1000000	
concentration	X2	1e-06	1000000	
concentration	X3	1e-06	1000000	
concentration	S4	1e-06	1000000	
