!!!SBtab Document='MBresult' DocumentName='MB result' StringencyAlpha='0.100000.2' CalculationTime='13.189620 s'				
				
!!SBtab TableID='Reaction' TableType='Reaction' TableName='Reaction'				
!ID	!ReactionFormula	!Name	!IsReversible	
E1	X1 <=> S4	E1	True	
E2	X2 <=> S4	E2	True	
E3	S4 <=> X3	E3	True	
				
!!SBtab TableID='Compound' TableType='Compound' TableName='Compound'				
!ID	!Name	!IsConstant		
X1	X1	True		
X2	X2	True		
X3	X3	True		
S4	S4	False		
				
!!SBtab TableID='Parameter' TableType='Quantity' TableName='Parameter' StandardConcentration='mM'				
!QuantityType	!Reaction	!Compound	!Mode	!Unit
equilibrium constant	E1		2.2180888	dimensionless
equilibrium constant	E2		47.969175	dimensionless
equilibrium constant	E3		0.57101986	dimensionless
catalytic rate constant geometric mean	E1		8.6110799	1/s
catalytic rate constant geometric mean	E2		25.2221	1/s
catalytic rate constant geometric mean	E3		18.524684	1/s
Michaelis constant	E1	X1	0.34622927	mM
Michaelis constant	E2	X2	1.3955228	mM
Michaelis constant	E3	X3	0.12416307	mM
Michaelis constant	E1	S4	0.00036219505	mM
Michaelis constant	E2	S4	0.0017949659	mM
Michaelis constant	E3	S4	2.9879733	mM
substrate catalytic rate constant	E1		396.51327	1/s
substrate catalytic rate constant	E2		4870.8274	1/s
substrate catalytic rate constant	E3		68.670234	1/s
product catalytic rate constant	E1		0.18700685	1/s
product catalytic rate constant	E2		0.13060498	1/s
product catalytic rate constant	E3		4.9972729	1/s
				
!!SBtab TableID='ConcentrationConstraint' TableType='Quantity' TableName='Metabolite concentration constraints'				
!QuantityType	!Compound	!Min	!Max	
concentration	X1	1e-06	1000000	
concentration	X2	1e-06	1000000	
concentration	X3	1e-06	1000000	
concentration	S4	1e-06	1000000	
