!!!SBtab Document='MBresult' DocumentName='MB result' CalculationTime='6.867657 s'				
				
!!SBtab TableID='Reaction' TableType='Reaction' TableName='Reaction'				
!ID	!ReactionFormula	!Name	!IsReversible	
E1	X1 <=> S4	E1	True	
E2	X2 <=> S4	E2	True	
E3	S4 <=> X3	E3	True	
				
!!SBtab TableID='Compound' TableType='Compound' TableName='Compound'				
!ID	!Name	!IsConstant		
X1	X1	True		
X2	X2	True		
X3	X3	True		
S4	S4	False		
				
!!SBtab TableID='Parameter' TableType='Quantity' TableName='Parameter' StandardConcentration='mM'				
!QuantityType	!Reaction	!Compound	!Mode	!Unit
equilibrium constant	E1		2.2146733	dimensionless
equilibrium constant	E2		43.860452	dimensionless
equilibrium constant	E3		0.45632837	dimensionless
catalytic rate constant geometric mean	E1		7.2876872	1/s
catalytic rate constant geometric mean	E2		17.080557	1/s
catalytic rate constant geometric mean	E3		26.619161	1/s
Michaelis constant	E1	X1	0.34834684	mM
Michaelis constant	E2	X2	1.0712567	mM
Michaelis constant	E3	X3	0.14482058	mM
Michaelis constant	E1	S4	0.00035995937	mM
Michaelis constant	E2	S4	0.0023374364	mM
Michaelis constant	E3	S4	2.7491706	mM
substrate catalytic rate constant	E1		337.38343	1/s
substrate catalytic rate constant	E2		2421.6727	1/s
substrate catalytic rate constant	E3		78.346356	1/s
product catalytic rate constant	E1		0.15741847	1/s
product catalytic rate constant	E2		0.12047269	1/s
product catalytic rate constant	E3		9.0441954	1/s
				
!!SBtab TableID='ConcentrationConstraint' TableType='Quantity' TableName='Metabolite concentration constraints'				
!QuantityType	!Compound	!Min	!Max	
concentration	X1	1e-06	1000000	
concentration	X2	1e-06	1000000	
concentration	X3	1e-06	1000000	
concentration	S4	1e-06	1000000	
