!!!SBtab Document='MBresult' DocumentName='MB result' CalculationTime='18.901958 s'				
				
!!SBtab TableID='Reaction' TableType='Reaction' TableName='Reaction'				
!ID	!ReactionFormula	!Name	!IsReversible	
E1	X1 <=> S4	E1	True	
E2	X2 <=> S4	E2	True	
E3	S4 <=> X3	E3	True	
				
!!SBtab TableID='Compound' TableType='Compound' TableName='Compound'				
!ID	!Name	!IsConstant		
X1	X1	True		
X2	X2	True		
X3	X3	True		
S4	S4	False		
				
!!SBtab TableID='Parameter' TableType='Quantity' TableName='Parameter' StandardConcentration='mM'				
!QuantityType	!Reaction	!Compound	!Mode	!Unit
equilibrium constant	E1		2.100057	dimensionless
equilibrium constant	E2		39.844101	dimensionless
equilibrium constant	E3		0.5784302	dimensionless
catalytic rate constant geometric mean	E1		1.4328776	1/s
catalytic rate constant geometric mean	E2		2.8938699	1/s
catalytic rate constant geometric mean	E3		35.948742	1/s
Michaelis constant	E1	X1	0.12300601	mM
Michaelis constant	E2	X2	0.086376403	mM
Michaelis constant	E3	X3	0.0448024	mM
Michaelis constant	E1	S4	0.058976848	mM
Michaelis constant	E2	S4	0.07136529	mM
Michaelis constant	E3	S4	0.078518786	mM
substrate catalytic rate constant	E1		2.9987967	1/s
substrate catalytic rate constant	E2		20.096252	1/s
substrate catalytic rate constant	E3		36.194728	1/s
product catalytic rate constant	E1		0.68465402	1/s
product catalytic rate constant	E2		0.41671866	1/s
product catalytic rate constant	E3		35.704427	1/s
				
!!SBtab TableID='ConcentrationConstraint' TableType='Quantity' TableName='Metabolite concentration constraints'				
!QuantityType	!Compound	!Min	!Max	
concentration	X1	1e-06	1000000	
concentration	X2	1e-06	1000000	
concentration	X3	1e-06	1000000	
concentration	S4	1e-06	1000000	
