!!SBtab TableID='ParameterData' TableType='Quantity'										
!QuantityType	!Compound	!Reaction	!Unit	!Median	!Mean	!Std	!Lower	!Upper	!Compound:Identifiers:kegg.compound	!Reaction:Identifiers:kegg.reaction
Michaelis constant	_S__Malate	FUM_R01082	mM	0.64666009	0.65749777	0.12087915	NaN	NaN	C00149	R01082
Michaelis constant	_S__Malate	MDH_R00342	mM	0.59870169	0.60873561	0.11191437	NaN	NaN	C00149	R00342
Michaelis constant	Acetyl_CoA	PDH_R00209	mM	0.030581258	0.031093784	0.0057165065	NaN	NaN	C00024	R00209
Michaelis constant	Acetyl_CoA	CSN_R00351	mM	0.050864382	0.051716842	0.009507999	NaN	NaN	C00024	R00351
Michaelis constant	Fumarate	SDH_R02164	mM	0.10381729	0.10555721	0.019406403	NaN	NaN	C00122	R02164
Michaelis constant	Fumarate	FUM_R01082	mM	0.18043722	0.18346125	0.033728846	NaN	NaN	C00122	R01082
Michaelis constant	cis_Aconitate	ACN_R01325	mM	0.016657922	0.0169371	0.0031138392	NaN	NaN	C00417	R01325
Michaelis constant	cis_Aconitate	ACN_R01900	mM	0.016657922	0.0169371	0.0031138392	NaN	NaN	C00417	R01900
Michaelis constant	_6_Phospho_D_gluconate	GLH_R02035	mM	0.02	0.020335189	0.0037385686	NaN	NaN	C00345	R02035
Michaelis constant	_6_Phospho_D_gluconate	PGD_R01528	mM	0.017811853	0.01811037	0.0033295417	NaN	NaN	C00345	R01528
Michaelis constant	Orthophosphate	GAP_R01061	mM	1	1.0167595	0.18692843	NaN	NaN	C00009	R01061
Michaelis constant	Orthophosphate	SCS_R00405	mM	1.003992	1.0208184	0.18767465	NaN	NaN	C00009	R00405
Michaelis constant	Pyruvate	PYK_R00200	mM	0.31	0.31519543	0.057947813	NaN	NaN	C00022	R00200
Michaelis constant	Pyruvate	PDH_R00209	mM	0.01	0.010167595	0.0018692843	NaN	NaN	C00022	R00209
Michaelis constant	NADPplus	ZWF_R00835	mM	0.007	0.0071173163	0.001308499	NaN	NaN	C00006	R00835
Michaelis constant	NADPplus	PGD_R01528	mM	0.016784756	0.01706606	0.0031375481	NaN	NaN	C00006	R01528
Michaelis constant	NADPH	ZWF_R00835	mM	0.007	0.0071173163	0.001308499	NaN	NaN	C00005	R00835
Michaelis constant	NADPH	PGD_R01528	mM	0.00066332496	0.00067444193	0.00012399429	NaN	NaN	C00005	R01528
Michaelis constant	NADH	GAP_R01061	mM	0.059	0.059988808	0.011028777	NaN	NaN	C00004	R01061
Michaelis constant	NADH	MDH_R00342	mM	0.027138618	0.027593447	0.0050729792	NaN	NaN	C00004	R00342
Michaelis constant	NADplus	GAP_R01061	mM	0.09	0.091508352	0.016823559	NaN	NaN	C00003	R01061
Michaelis constant	NADplus	PDH_R00209	mM	0.041024383	0.04171193	0.0076686234	NaN	NaN	C00003	R00209
Michaelis constant	NADplus	ICD_R00709	mM	0.08	0.081340757	0.014954274	NaN	NaN	C00003	R00709
Michaelis constant	NADplus	MDH_R00342	mM	0.12812311	0.13027038	0.023949852	NaN	NaN	C00003	R00342
Michaelis constant	ATP	PFK_R04779	mM	0.12	0.12201114	0.022431411	NaN	NaN	C00002	R04779
Michaelis constant	ATP	PGK_R01512	mM	0.48	0.48804454	0.089725646	NaN	NaN	C00002	R01512
Michaelis constant	ATP	PYK_R00200	mM	0.25	0.25418987	0.046732107	NaN	NaN	C00002	R00200
Michaelis constant	ATP	SCS_R00405	mM	0.090092484	0.091602386	0.016840846	NaN	NaN	C00002	R00405
