!!!SBtab Document='MBresult' DocumentName='MB result' CalculationTime='49.503778 s'				
				
!!SBtab TableID='Reaction' TableType='Reaction' TableName='Reaction'				
!ID	!ReactionFormula	!Name	!IsReversible	
E1	X1 <=> S2	E1	True	
E2	X3 <=> S4	E2	True	
E3	S2 + S4 <=> S5	E3	True	
E4	S5 <=> X6	E4	True	
E5	S5 <=> X7	E5	True	
				
!!SBtab TableID='Compound' TableType='Compound' TableName='Compound'				
!ID	!Name	!IsConstant		
X1	X1	True		
S2	S2	False		
X3	X3	True		
S4	S4	False		
S5	S5	False		
X6	X6	True		
X7	X7	True		
				
!!SBtab TableID='Parameter' TableType='Quantity' TableName='Parameter' StandardConcentration='mM'				
!QuantityType	!Reaction	!Compound	!Mode	!Unit
equilibrium constant	E1		0.052611155	dimensionless
equilibrium constant	E2		1.7603675	dimensionless
equilibrium constant	E3		4.3733464	dimensionless
equilibrium constant	E4		0.64475894	dimensionless
equilibrium constant	E5		0.63039334	dimensionless
catalytic rate constant geometric mean	E1		401.8207	1/s
catalytic rate constant geometric mean	E2		92.589589	1/s
catalytic rate constant geometric mean	E3		1982.2292	1/s
catalytic rate constant geometric mean	E4		7.1406254	1/s
catalytic rate constant geometric mean	E5		4577.0287	1/s
Michaelis constant	E1	X1	0.0010881969	mM
Michaelis constant	E1	S2	0.002229718	mM
Michaelis constant	E3	S2	43.603302	mM
Michaelis constant	E2	X3	20.285087	mM
Michaelis constant	E2	S4	0.0016625008	mM
Michaelis constant	E3	S4	0.04164419	mM
Michaelis constant	E3	S5	1.0604199	mM
Michaelis constant	E4	S5	1.6145972	mM
Michaelis constant	E5	S5	0.023000134	mM
Michaelis constant	E4	X6	0.60923752	mM
Michaelis constant	E5	X7	0.0029954199	mM
substrate catalytic rate constant	E1		64.387267	1/s
substrate catalytic rate constant	E2		13569.734	1/s
substrate catalytic rate constant	E3		5424.4883	1/s
substrate catalytic rate constant	E4		9.3341272	1/s
substrate catalytic rate constant	E5		10069.914	1/s
product catalytic rate constant	E1		2507.6367	1/s
product catalytic rate constant	E2		0.63176125	1/s
product catalytic rate constant	E3		724.35085	1/s
product catalytic rate constant	E4		5.4625922	1/s
product catalytic rate constant	E5		2080.3744	1/s
				
!!SBtab TableID='ConcentrationConstraint' TableType='Quantity' TableName='Metabolite concentration constraints'				
!QuantityType	!Compound	!Min	!Max	
concentration	X1	1e-06	1000000	
concentration	S2	1e-06	1000000	
concentration	X3	1e-06	1000000	
concentration	S4	1e-06	1000000	
concentration	S5	1e-06	1000000	
concentration	X6	1e-06	1000000	
concentration	X7	1e-06	1000000	
