!!!SBtab										
										
!!SBtab TableName='Metabolic fluxes' TableID='FluxData' TableType='QuantityMatrix' Unit='mM/s'										
!QuantityType	!Reaction	!Reaction:Identifiers:kegg.reaction	state_1_Mean	state_1_Std	state_2_Mean	state_2_Std	state_3_Mean	state_3_Std	state_4_Mean	state_4_Std
rate of reaction	PTS_RPTSsy	RPTSsy	0.00025964267	7.7760972e-05	0.00031282399	0.00010763368	0.0002847761	6.5748391e-05	0.00042821316	9.4027196e-05
rate of reaction	PGI_R02740	R02740	0.00025345351	5.6984971e-05	0.00047234608	7.9642042e-05	0.0006883492	0.00011482826	0.00035935582	7.1443629e-05
rate of reaction	PFK_R04779	R04779	0.00030191377	7.3885224e-05	0.00048411783	9.7269275e-05	0.00052006747	0.00013337807	0.00045334904	9.1352474e-05
rate of reaction	ALD_R01070	R01070	0.00044884527	9.3484067e-05	0.00048674713	0.0001229891	0.00050067557	0.00012458161	0.00066612681	0.00011911958
rate of reaction	TIM_R01015	R01015	0.00040778484	0.00010672502	0.00041983593	0.00010603109	0.00040973556	0.00011253025	0.00028604315	8.1548537e-05
rate of reaction	GAP_R01061	R01061	0.00056123017	0.00020294675	0.0011837866	0.00022575104	0.0014322652	0.00023602567	0.00102683	0.00018677292
rate of reaction	PGK_R01512	R01512	0.00097312856	0.00020311513	0.00092407381	0.00022539229	0.0010972223	0.00023473672	0.00081208556	0.00018533602
rate of reaction	PGM_R01518	R01518	0.00097506999	0.00020822395	0.0010367241	0.00018440091	0.00041462142	0.00016522092	0.00065067737	0.00011426878
rate of reaction	PGH_R00658	R00658	0.00083973534	0.00020820708	0.00081303155	0.00018064197	0.00076041741	0.00016250275	0.00052381444	0.0001140645
rate of reaction	PYK_R00200	R00200	0.00017579317	4.2508056e-05	0.0001449516	3.7803918e-05	0.00011021056	4.306179e-05	1.0348585e-05	1.8613909e-05
rate of reaction	PDH_R00209	R00209	0.00043434839	9.6577203e-05	0.00025208285	4.8016376e-05	0.00038856011	7.7823337e-05	0.00021420574	7.6257982e-05
