!!!SBtab Document='MBresult' DocumentName='MB result' CalculationTime='17.789640 s'				
				
!!SBtab TableID='Reaction' TableType='Reaction' TableName='Reaction'				
!ID	!ReactionFormula	!Name	!IsReversible	
E1	X1 <=> S2	E1	True	
E2	S2 <=> X3	E2	True	
E3	X3 <=> X4	E3	True	
				
!!SBtab TableID='Compound' TableType='Compound' TableName='Compound'				
!ID	!Name	!IsConstant		
X1	X1	True		
S2	S2	False		
X3	X3	False		
X4	X4	True		
				
!!SBtab TableID='Parameter' TableType='Quantity' TableName='Parameter' StandardConcentration='mM'				
!QuantityType	!Reaction	!Compound	!Mode	!Unit
equilibrium constant	E1		0.052083748	dimensionless
equilibrium constant	E2		21.949291	dimensionless
equilibrium constant	E3		1.7558404	dimensionless
catalytic rate constant geometric mean	E1		7.7180075	1/s
catalytic rate constant geometric mean	E2		22.057213	1/s
catalytic rate constant geometric mean	E3		23.211107	1/s
Michaelis constant	E1	X1	0.17069907	mM
Michaelis constant	E1	S2	0.0077953235	mM
Michaelis constant	E2	S2	1.0773676	mM
Michaelis constant	E2	X3	0.049302202	mM
Michaelis constant	E3	X3	0.16646352	mM
Michaelis constant	E3	X4	3.3466932	mM
substrate catalytic rate constant	E1		8.2424213	1/s
substrate catalytic rate constant	E2		483.06956	1/s
substrate catalytic rate constant	E3		6.8594604	1/s
product catalytic rate constant	E1		7.2269588	1/s
product catalytic rate constant	E2		1.007144	1/s
product catalytic rate constant	E3		78.541961	1/s
				
!!SBtab TableID='ConcentrationConstraint' TableType='Quantity' TableName='Metabolite concentration constraints'				
!QuantityType	!Compound	!Min	!Max	
concentration	X1	1e-06	1000000	
concentration	S2	1e-06	1000000	
concentration	X3	1e-06	1000000	
concentration	X4	1e-06	1000000	
