!!!SBtab Document='MBresult' DocumentName='MB result' CalculationTime='42.643575 s'				
				
!!SBtab TableID='Reaction' TableType='Reaction' TableName='Reaction'				
!ID	!ReactionFormula	!Name	!IsReversible	
E1	X1 <=> S2	E1	True	
E2	S2 <=> X3	E2	True	
E3	X3 <=> X4	E3	True	
				
!!SBtab TableID='Compound' TableType='Compound' TableName='Compound'				
!ID	!Name	!IsConstant		
X1	X1	True		
S2	S2	False		
X3	X3	False		
X4	X4	True		
				
!!SBtab TableID='Parameter' TableType='Quantity' TableName='Parameter' StandardConcentration='mM'				
!QuantityType	!Reaction	!Compound	!Mode	!Unit
equilibrium constant	E1		0.045471907	dimensionless
equilibrium constant	E2		14.449886	dimensionless
equilibrium constant	E3		1.3809709	dimensionless
catalytic rate constant geometric mean	E1		54.226643	1/s
catalytic rate constant geometric mean	E2		11.027913	1/s
catalytic rate constant geometric mean	E3		39.731858	1/s
Michaelis constant	E1	X1	0.054594675	mM
Michaelis constant	E1	S2	0.17796063	mM
Michaelis constant	E2	S2	0.0080102755	mM
Michaelis constant	E2	X3	0.68225374	mM
Michaelis constant	E3	X3	0.015347085	mM
Michaelis constant	E3	X4	0.6297837	mM
substrate catalytic rate constant	E1		6.4046807	1/s
substrate catalytic rate constant	E2		4.542305	1/s
substrate catalytic rate constant	E3		7.2886715	1/s
product catalytic rate constant	E1		459.12184	1/s
product catalytic rate constant	E2		26.773819	1/s
product catalytic rate constant	E3		216.58549	1/s
				
!!SBtab TableID='ConcentrationConstraint' TableType='Quantity' TableName='Metabolite concentration constraints'				
!QuantityType	!Compound	!Min	!Max	
concentration	X1	1e-06	1000000	
concentration	S2	1e-06	1000000	
concentration	X3	1e-06	1000000	
concentration	X4	1e-06	1000000	
