!!!SBtab Document='MBresult' DocumentName='MB result' CalculationTime='14.799955 s'				
				
!!SBtab TableID='Reaction' TableType='Reaction' TableName='Reaction'				
!ID	!ReactionFormula	!Name	!IsReversible	
E1	X1 <=> S4	E1	True	
E2	X2 <=> S4	E2	True	
E3	S4 <=> X3	E3	True	
				
!!SBtab TableID='Compound' TableType='Compound' TableName='Compound'				
!ID	!Name	!IsConstant		
X1	X1	True		
X2	X2	True		
X3	X3	True		
S4	S4	False		
				
!!SBtab TableID='Parameter' TableType='Quantity' TableName='Parameter' StandardConcentration='mM'				
!QuantityType	!Reaction	!Compound	!Mode	!Unit
equilibrium constant	E1		0.94224718	dimensionless
equilibrium constant	E2		4.3121052	dimensionless
equilibrium constant	E3		0.41405796	dimensionless
catalytic rate constant geometric mean	E1		198.49601	1/s
catalytic rate constant geometric mean	E2		212.91063	1/s
catalytic rate constant geometric mean	E3		198.49368	1/s
Michaelis constant	E1	X1	20.012512	mM
Michaelis constant	E2	X2	3.1569451	mM
Michaelis constant	E3	X3	0.096268536	mM
Michaelis constant	E1	S4	5.6065392	mM
Michaelis constant	E2	S4	5.606308	mM
Michaelis constant	E3	S4	5.6032193	mM
substrate catalytic rate constant	E1		364.03033	1/s
substrate catalytic rate constant	E2		331.76996	1/s
substrate catalytic rate constant	E3		974.43727	1/s
product catalytic rate constant	E1		108.23457	1/s
product catalytic rate constant	E2		136.63364	1/s
product catalytic rate constant	E3		40.433328	1/s
				
!!SBtab TableID='ConcentrationConstraint' TableType='Quantity' TableName='Metabolite concentration constraints'				
!QuantityType	!Compound	!Min	!Max	
concentration	X1	1e-06	1000000	
concentration	X2	1e-06	1000000	
concentration	X3	1e-06	1000000	
concentration	S4	1e-06	1000000	
