!!!SBtab DocumentName='MB result' Document='MBresult' StringencyAlpha='0.100000.2' CalculationTime='1901.404270 s'					
					
!!SBtab TableName='Metabolic fluxes' TableID='Flux' TableType='QuantityMatrix' Unit='mM/s'					
!QuantityType	!Reaction	state_1	state_2	state_3	state_4
rate of reaction	PTS_RPTSsy	0.010511383	0.017666838	-0.0020771351	0.0018098291
rate of reaction	PGI_R02740	0.012747845	0.039573507	0.03407319	0.023255261
rate of reaction	PFK_R04779	0.00017951182	0.0076999976	0.0039360524	0.0091741631
rate of reaction	ALD_R01070	-0.0038600704	-0.0069307805	-0.0064155134	-0.011876881
rate of reaction	TIM_R01015	-0.0081746165	-0.0060817804	-0.010151931	-0.0091979448
rate of reaction	GAP_R01061	-0.022053858	-0.0055396793	-0.014701908	-0.0089868672
rate of reaction	PGK_R01512	-0.0007574859	-0.0073391572	-0.00098513151	-0.0035571293
rate of reaction	PGM_R01518	-0.00053622564	-0.010433797	-0.024236858	-0.013348205
rate of reaction	PGH_R00658	-0.0078519507	-0.0021234513	-0.00026955456	-0.00094574335
rate of reaction	PYK_R00200	-0.0050918886	-0.0035717162	0.012773718	-0.0161702
rate of reaction	PDH_R00209	0.0008945078	0.01599466	0.0080520806	0.016374064
rate of reaction	ZWF_R00835	-0.0053358577	0.013232789	-0.0070823162	0.020261184
rate of reaction	GLH_R02035	0.026577503	0.010453072	0.010757441	0.01647064
rate of reaction	PGD_R01528	0.0050072295	0.014750876	0.0015293784	0.0015493454
rate of reaction	RPI_R01056	0.0036421879	0.0013231984	0.0072390787	0.011296142
rate of reaction	RPE_R01529	-0.0010727322	-0.031814054	-0.0041389439	-0.03081149
rate of reaction	TXT_R01641	0.012577513	0.003107966	0.011990584	0.019090381
rate of reaction	TAL_R08575	0.013016308	0.0013139658	0.00065985066	0.0031754032
rate of reaction	TXT_R01067	-0.0054051115	-0.012190828	-0.00093496976	-0.012604488
rate of reaction	FBP_R00762	0.80144236	0.95829043	0.43647439	0.38905177
rate of reaction	CSN_R00351	0.010318545	0.016869558	0.0079121706	0.0017114182
rate of reaction	ACN_R01325	0.001103668	0.012277392	0.016988751	0.00049025712
rate of reaction	ACN_R01900	0.011313363	0.015184714	0.004635913	6.7201868e-06
rate of reaction	ICD_R00709	0.014203416	0.012355907	0.00044185927	0.024168269
rate of reaction	KGD_R08549	0.010057161	0.0058283503	0.0076162543	0.0044990467
rate of reaction	SCS_R00405	-0.0054744099	-0.017580162	-0.010128957	-0.033236343
rate of reaction	SDH_R02164	-0.00644118	-0.0057858706	-0.010710584	-0.019507501
rate of reaction	FUM_R01082	-0.0091537895	-0.0057845301	-0.014545811	-0.0029123587
rate of reaction	MDH_R00342	-0.0031337204	-0.017085115	-0.0027345658	-0.017036596
rate of reaction	PPC_R00345	0.013017375	0.0021383304	0.019373035	0.0050587457
					
!!SBtab TableName='Metabolite concentrations' TableID='MetaboliteConcentration' TableType='QuantityMatrix' Unit='mM'					
!QuantityType	!Compound	state_1	state_2	state_3	state_4
concentration	_S__Malate	0.0028305142	0.0058884863	0.0090026417	0.014411396
concentration	Acetyl_CoA	0.34363029	0.81951839	0.51681845	0.55644574
concentration	Fumarate	0.0042972473	0.0062689243	0.01628973	0.017064286
concentration	cis_Aconitate	0.23885587	0.063207007	0.022430966	0.024606461
concentration	_6_Phospho_D_gluconate	2.0448222e-05	5.973648e-06	3.2015251e-05	1.0240305e-05
concentration	Orthophosphate	0.022323184	0.014364761	0.017040331	0.018508519
concentration	Pyruvate	0.079163779	0.078751393	0.025428711	0.40589721
concentration	NADPplus	0.10109324	0.28208993	0.10776279	0.2608129
concentration	NADPH	0.083873462	0.18456774	0.21019479	0.059772908
concentration	NADH	0.015410329	0.0075859527	0.014988145	0.0046861751
concentration	NADplus	0.13888638	0.070759513	0.11965186	0.070510523
concentration	ATP	0.19254728	0.083125556	0.13787899	0.11268947
concentration	H2O	0.13267089	0.45231804	0.070632389	0.15000005
concentration	_2_Oxoglutarate	7.5968866	5.1194347	1.3686173	3.534659
concentration	Oxaloacetate	0.23040161	0.1711515	0.1067215	0.068197181
concentration	Ubiquinone	7.6228879e-05	9.5499428e-05	0.00016955088	0.00010408921
concentration	D_Erythrose_4_phosphate	0.50564198	1.2390335	1.8920448	1.3463111
concentration	Ubiquinol	5.0901735	5.9690414	4.0706011	6.3699361
concentration	ADP	0.0071330964	0.0079948124	0.0134953	0.013322001
concentration	Isocitrate	0.0013412543	0.00027616412	7.5116908e-05	0.00015276074
concentration	D_Ribulose_5_phosphate	0.19404195	0.14961706	0.44729091	0.38910712
concentration	D_Xylulose_5_phosphate	0.047056935	0.094014092	0.11042649	0.11723318
concentration	D_Glucose_6_phosphate	0.074630074	0.088290632	0.13087401	0.026632617
concentration	_3_Phospho_D_glyceroyl_phosphate	0.003211804	0.0031795699	0.0023869074	0.0042237063
concentration	CoA	4.0279535	1.2565392	1.1153028	1.7558917
concentration	CO2	0.00012157709	6.9072662e-05	7.2862541e-05	8.8182682e-05
concentration	D_Ribose_5_phosphate	0.10376162	0.06856057	0.091057883	0.15365989
concentration	Glycerone_phosphate	0.016586992	0.013577106	0.0081035145	0.018710671
concentration	D_Glucose	5.8834898	7.7980248	2.4389746	8.2782532
concentration	D_Fructose_1_6_bisphosphate	0.11867852	0.16464115	0.037486742	0.081123366
concentration	D_Glyceraldehyde_3_phosphate	0.060059662	0.10668819	0.064728928	0.047527994
concentration	Phosphoenolpyruvate	0.10534204	0.079216836	0.097462642	0.10102891
concentration	Citrate	0.51179155	3.0654409	1.5661686	0.83281249
concentration	Succinyl_CoA	11.031511	9.8397106	7.8521108	5.8548865
concentration	_3_Phospho_D_glycerate	0.025368998	0.011527887	0.017358388	0.032802769
concentration	D_Glucono_1_5_lactone_6_phosphate	0.66191636	0.85374355	0.48498308	0.74485015
concentration	D_Fructose_6_phosphate	0.086819176	0.14022769	0.089107427	0.1804063
concentration	_2_Phospho_D_glycerate	0.0019498085	0.0053168155	0.0078320132	0.0077262319
concentration	Succinate	5.6493283	6.4954568	1.0757619	3.8770516
concentration	Sedoheptulose_7_phosphate	0.044839951	0.063304027	0.091572637	0.2018134
					
!!SBtab TableName='Enzyme concentrations' TableID='EnzymeConcentration' TableType='QuantityMatrix' Unit='mM'					
!QuantityType	!Reaction	state_1	state_2	state_3	state_4
concentration of enzyme	PTS_RPTSsy	0.00045267331	0.0016135354	0.00084284889	0.00076611798
concentration of enzyme	PGI_R02740	0.00053168874	0.0015902986	0.0012491199	0.0015436723
concentration of enzyme	PFK_R04779	3.1542594e-05	0.00088009891	0.00067597801	0.0008063371
concentration of enzyme	ALD_R01070	0.0015902983	0.0012111006	0.00023136387	0.00054857624
concentration of enzyme	TIM_R01015	0.00084623652	0.0004567006	0.00099862831	0.0011122535
concentration of enzyme	GAP_R01061	0.0012149758	0.0013156219	0.00090287848	0.00049695073
concentration of enzyme	PGK_R01512	0.00012796547	0.0012869092	0.00016865154	0.00060448746
concentration of enzyme	PGM_R01518	0.0012707608	0.00048754386	0.00081740851	0.0005668781
concentration of enzyme	PGH_R00658	0.00056003251	0.00090806396	0.0013962125	0.00096741273
concentration of enzyme	PYK_R00200	0.0009299766	0.001121499	0.0044283168	0.00064693359
concentration of enzyme	PDH_R00209	1.4222956e-05	0.00025723752	0.00020509668	0.00020325895
concentration of enzyme	ZWF_R00835	0.00077007723	0.00062981506	0.00174642	0.0012215411
concentration of enzyme	GLH_R02035	0.0011275793	0.00036192373	0.00059273006	0.00063506308
concentration of enzyme	PGD_R01528	0.00090227338	0.0026317422	0.00038137634	0.00042683638
concentration of enzyme	RPI_R01056	0.00061274553	0.00028392894	0.00054048036	0.00097524501
concentration of enzyme	RPE_R01529	0.0016899947	0.00047677151	0.0015836266	0.00148126
concentration of enzyme	TXT_R01641	0.00035764996	0.00014016615	0.00037884539	0.00038447069
concentration of enzyme	TAL_R08575	0.00060011352	0.00023149394	0.00090774998	0.00050875705
concentration of enzyme	TXT_R01067	0.0011766603	0.0018143577	0.0010216025	0.0021615872
concentration of enzyme	FBP_R00762	0.0012850397	0.0011980085	0.0015857541	0.0009283734
concentration of enzyme	CSN_R00351	0.00061806566	0.00080316625	0.00078008055	0.00074970733
concentration of enzyme	ACN_R01325	0.0064556766	0.00060106602	0.0015476888	8.5331508e-05
concentration of enzyme	ACN_R01900	0.002774888	0.0034432257	0.001772958	0.0032794427
concentration of enzyme	ICD_R00709	0.00058450618	0.0026521137	0.0054494682	0.0047073949
concentration of enzyme	KGD_R08549	0.00034362038	0.00042647701	0.0011125875	0.00041166213
concentration of enzyme	SCS_R00405	0.00015566274	0.00056343741	0.00040672806	0.0010265413
concentration of enzyme	SDH_R02164	0.00056154299	0.00036249836	0.00032014685	0.00056424428
concentration of enzyme	FUM_R01082	0.0023485944	0.0010588048	0.0023612576	0.00042005473
concentration of enzyme	MDH_R00342	8.8050404e-05	0.00055572146	0.00011359864	0.00098321176
concentration of enzyme	PPC_R00345	0.00074249848	0.0001851723	0.0014430805	0.00035409761
					
!!SBtab TableName='Gibbs free energies of reaction' TableID='ReactionGibbsFreeEnergy' TableType='QuantityMatrix' Unit='kJ/mol'					
!QuantityType	!Reaction	state_1	state_2	state_3	state_4
Gibbs energy of reaction	PTS_RPTSsy	0.83476399	0.42283349	0.11806629	0.079926136
Gibbs energy of reaction	PGI_R02740	10.841363	10.069541	12.169282	6.4739595
Gibbs energy of reaction	PFK_R04779	12.057617	10.069625	12.570475	11.937273
Gibbs energy of reaction	ALD_R01070	0.080029185	0.19651132	1.3467263	0.74167018
Gibbs energy of reaction	TIM_R01015	11.642548	13.563258	13.603876	10.763771
Gibbs energy of reaction	GAP_R01061	0.76273138	0.3210267	0.81139407	1.215804
Gibbs energy of reaction	PGK_R01512	19.318797	15.023487	16.705533	16.40039
Gibbs energy of reaction	PGM_R01518	0.10938027	4.5514284	4.4969862	2.8855765
Gibbs energy of reaction	PGH_R00658	3.6702798	0.47696913	0.030596353	0.15339368
Gibbs energy of reaction	PYK_R00200	3.111646	1.4402437	1.9192926	4.3908118
Gibbs energy of reaction	PDH_R00209	35.513122	31.944637	29.47137	38.378699
Gibbs energy of reaction	ZWF_R00835	0.098671291	0.27583507	0.054346162	0.24358844
Gibbs energy of reaction	GLH_R02035	20.4416	24.122925	18.559225	22.448585
Gibbs energy of reaction	PGD_R01528	15.218924	14.803257	13.410077	15.765063
Gibbs energy of reaction	RPI_R01056	7.6860327	8.068742	10.080049	8.4374908
Gibbs energy of reaction	RPE_R01529	0.02559586	2.3857655	0.069862614	0.56359494
Gibbs energy of reaction	TXT_R01641	5.9846863	4.393906	5.8198066	6.0720144
Gibbs energy of reaction	TAL_R08575	1.4270119	0.29592213	0.046984286	0.33514483
Gibbs energy of reaction	TXT_R01067	5.6303663	4.3057792	0.49473268	2.1728735
Gibbs energy of reaction	FBP_R00762	9.1229671	9.8387851	6.8710745	6.8313286
Gibbs energy of reaction	CSN_R00351	1.1981306	1.0661105	0.71271732	0.22631301
Gibbs energy of reaction	ACN_R01325	0.11677438	7.849817	8.7531825	6.9580567
Gibbs energy of reaction	ACN_R01900	0.24962264	0.8716425	1.5309878	0.00082542729
Gibbs energy of reaction	ICD_R00709	1.9369728	0.48452558	0.0091008511	0.5147928
Gibbs energy of reaction	KGD_R08549	32.626402	30.530439	27.00558	32.308453
Gibbs energy of reaction	SCS_R00405	19.505016	15.974509	11.314084	15.671938
Gibbs energy of reaction	SDH_R02164	18.074559	18.500836	22.953478	22.210065
Gibbs energy of reaction	FUM_R01082	9.0566357	9.9364433	8.6215773	9.6727749
Gibbs energy of reaction	MDH_R00342	21.613974	18.975903	17.138541	13.290855
Gibbs energy of reaction	PPC_R00345	22.033837	22.312201	20.918488	19.451083
