!!!SBtab DocumentName='MB result' Document='MBresult' StringencyAlpha='1.000000.2' CalculationTime='12179.409675 s'					
					
!!SBtab TableName='Metabolic fluxes' TableID='Flux' TableType='QuantityMatrix' Unit='mM/s'					
!QuantityType	!Reaction	state_1	state_2	state_3	state_4
rate of reaction	PTS_RPTSsy	0.00033260827	0.00048197182	0.00027254536	0.00041393939
rate of reaction	PGI_R02740	0.00022872827	0.00034201362	0.00051794469	0.00030102155
rate of reaction	PFK_R04779	0.00031322953	0.00043014979	0.00061069376	0.00040056578
rate of reaction	ALD_R01070	0.00041122375	0.0005587489	0.00056671148	0.00053940131
rate of reaction	TIM_R01015	0.00047742851	0.00047395885	0.00050645468	0.00035154609
rate of reaction	GAP_R01061	0.00095853718	0.0010725586	0.0011239318	0.00087766803
rate of reaction	PGK_R01512	0.00095937905	0.0010707649	0.001117487	0.00087048351
rate of reaction	PGM_R01518	0.00098492315	0.00086580795	0.00076990803	0.00051514729
rate of reaction	PGH_R00658	0.0009848388	0.00084701327	0.00075631717	0.00051412591
rate of reaction	PYK_R00200	0.00015634369	0.000132823	0.00015911236	3.6872959e-05
rate of reaction	PDH_R00209	0.00042668943	0.00018388529	0.0003329201	0.00032509332
rate of reaction	ZWF_R00835	0.00011577031	0.00020532841	0.00013855538	0.00018200363
rate of reaction	GLH_R02035	0.00011588554	0.00014955649	0.00013986262	0.00018350192
rate of reaction	PGD_R01528	0.00012074074	0.00014896809	0.00011753195	0.00020423026
rate of reaction	RPI_R01056	4.9229446e-05	7.9452199e-05	6.5514856e-05	6.2138273e-05
rate of reaction	RPE_R01529	8.186116e-05	4.9951223e-05	7.3205672e-05	0.00013529978
rate of reaction	TXT_R01641	5.8747888e-05	4.6237995e-05	7.1851466e-05	2.6933242e-05
rate of reaction	TAL_R08575	3.862891e-05	4.4366614e-05	5.4432516e-05	6.0268826e-05
rate of reaction	TXT_R01067	4.322627e-05	3.8764296e-05	3.8457215e-05	3.2716675e-05
rate of reaction	FBP_R00762	0	0	0	0
rate of reaction	CSN_R00351	0.00043402079	0.00011728509	0.00033227759	0.00024465774
rate of reaction	ACN_R01325	0.0002343692	0.00018979749	0.00021692664	0.00016114288
rate of reaction	ACN_R01900	0.00023056236	0.00021032292	0.00021861562	0.00018586065
rate of reaction	ICD_R00709	0.0002285566	0.00021410621	0.00021936933	0.00019558365
rate of reaction	KGD_R08549	0.00016971197	0.00014437184	0.00014291072	5.0976136e-05
rate of reaction	SCS_R00405	0.00016179938	0.00017270762	0.0001346913	0.00012325496
rate of reaction	SDH_R02164	6.0623604e-05	7.885045e-05	0.00010993581	9.3904432e-05
rate of reaction	FUM_R01082	3.7199178e-05	2.0305697e-05	0.00010389658	0.00014069334
rate of reaction	MDH_R00342	-5.2264966e-05	-6.2832816e-05	3.7903909e-05	0.00018085408
rate of reaction	PPC_R00345	-0.0004925212	-0.00018201184	-0.00029728459	-6.1920641e-05
					
!!SBtab TableName='Metabolite concentrations' TableID='MetaboliteConcentration' TableType='QuantityMatrix' Unit='mM'					
!QuantityType	!Compound	state_1	state_2	state_3	state_4
concentration	_S__Malate	1.6013639	0.90711883	0.86153247	0.36878037
concentration	Acetyl_CoA	0.14015283	0.24732502	0.23376527	0.34400197
concentration	Fumarate	0.43667275	0.23978901	0.28367175	0.19397792
concentration	cis_Aconitate	0.23812092	0.096355996	0.048972818	0.057552666
concentration	_6_Phospho_D_gluconate	0.060072388	0.058909649	0.13267043	0.092323672
concentration	Orthophosphate	9.0163217	8.8777136	4.5724559	6.2119519
concentration	Pyruvate	1.1257654	0.59799567	0.18542263	0.30053233
concentration	NADPplus	0.28569531	0.24695291	0.11828344	0.26719545
concentration	NADPH	0.093551917	0.088530154	0.10324842	0.041553277
concentration	NADH	0.0028524954	0.0048136084	0.0038364812	0.0018223346
concentration	NADplus	7.5016116	4.5597081	6.6095571	4.8227037
concentration	ATP	0.47657698	0.46534637	0.81661512	0.57632869
concentration	H2O	0.093912334	0.19219914	0.072268583	0.11948326
concentration	_2_Oxoglutarate	0.85774528	0.22030071	0.19716538	0.35704125
concentration	Oxaloacetate	0.10167475	0.020778908	0.027468112	0.0085780385
concentration	Ubiquinone	0.088904237	0.052733036	0.17419629	0.13947732
concentration	D_Erythrose_4_phosphate	0.080002052	0.10687104	0.099814933	0.11344617
concentration	Ubiquinol	0.075723422	0.094877425	0.042350444	0.085961683
concentration	ADP	0.35189085	0.28712889	0.32111903	0.2525753
concentration	Isocitrate	0.13577461	0.021672828	0.018947207	0.021343867
concentration	D_Ribulose_5_phosphate	0.27800884	0.2665965	0.17100701	0.25344328
concentration	D_Xylulose_5_phosphate	0.74762914	0.89060294	0.43445496	0.51580967
concentration	D_Glucose_6_phosphate	0.22413986	0.98956115	1.4890911	0.53446627
concentration	_3_Phospho_D_glyceroyl_phosphate	0.024546333	0.026555374	0.034496774	0.038886491
concentration	CoA	0.039100041	0.079326394	0.050520544	0.025909269
concentration	CO2	0.12606888	0.091631111	0.07899237	0.097505987
concentration	D_Ribose_5_phosphate	0.41944679	0.32284938	0.25179171	0.40649161
concentration	Glycerone_phosphate	0.62266884	2.2648921	0.65577527	1.111313
concentration	D_Glucose	0.098909251	0.10133289	0.046351282	0.10408988
concentration	D_Fructose_1_6_bisphosphate	0.57104698	4.0016256	1.1387424	2.4359999
concentration	D_Glyceraldehyde_3_phosphate	0.061452908	0.19953839	0.060971275	0.10362004
concentration	Phosphoenolpyruvate	0.26196995	0.13623645	0.12964854	0.048054967
concentration	Citrate	10.709619	19.007501	9.6371439	9.1994697
concentration	Succinyl_CoA	0.19020047	0.097172176	0.11441837	0.1665905
concentration	_3_Phospho_D_glycerate	2.6285039	2.8202657	1.7199868	1.9821908
concentration	D_Glucono_1_5_lactone_6_phosphate	0.0014611959	0.16196307	0.18349067	0.0048232584
concentration	D_Fructose_6_phosphate	0.023020876	0.18403809	0.051865706	0.088960352
concentration	_2_Phospho_D_glycerate	0.23320525	0.14295778	0.10611628	0.078493174
concentration	Succinate	0.90909301	0.20457119	0.10697273	0.18420786
concentration	Sedoheptulose_7_phosphate	0.45754288	0.69482188	0.62687467	0.93952268
					
!!SBtab TableName='Enzyme concentrations' TableID='EnzymeConcentration' TableType='QuantityMatrix' Unit='mM'					
!QuantityType	!Reaction	state_1	state_2	state_3	state_4
concentration of enzyme	PTS_RPTSsy	2.3268912e-10	4.7935393e-10	2.9212054e-10	4.2366087e-10
concentration of enzyme	PGI_R02740	0.00011305459	0.00024000309	0.00019669014	0.00019206651
concentration of enzyme	PFK_R04779	1.7837535e-06	1.6705882e-06	1.6875006e-06	1.4979909e-06
concentration of enzyme	ALD_R01070	9.2362734e-07	1.4951463e-06	6.5295309e-07	6.1743245e-07
concentration of enzyme	TIM_R01015	0.004784961	0.0017467565	0.0028420094	0.0018998234
concentration of enzyme	GAP_R01061	0.0099627524	0.0097580636	0.01393833	0.0091933908
concentration of enzyme	PGK_R01512	0.0056020854	0.0075022518	0.0054292179	0.003979549
concentration of enzyme	PGM_R01518	0.0022182858	0.0014170101	0.001386609	0.0007874901
concentration of enzyme	PGH_R00658	7.4783437e-07	8.1298224e-07	1.0162572e-06	6.8501096e-07
concentration of enzyme	PYK_R00200	1.7390917e-05	1.9273138e-05	1.6654858e-05	1.2178037e-05
concentration of enzyme	PDH_R00209	3.3637819e-07	1.0673863e-07	2.9180681e-07	4.0407255e-07
concentration of enzyme	ZWF_R00835	8.0772951e-07	8.1988234e-07	7.4467826e-07	5.7012477e-07
concentration of enzyme	GLH_R02035	3.3364929e-06	1.4757503e-06	1.385727e-06	2.8483167e-06
concentration of enzyme	PGD_R01528	1.1888693e-06	1.369934e-06	6.7171084e-07	9.3368076e-07
concentration of enzyme	RPI_R01056	0.0053078851	0.0052235562	0.0072285552	0.0081381453
concentration of enzyme	RPE_R01529	2.3782672e-06	3.9683183e-06	1.8710584e-06	2.0792199e-06
concentration of enzyme	TXT_R01641	3.1313194e-08	4.8675629e-08	7.5347355e-08	2.8558466e-08
concentration of enzyme	TAL_R08575	4.643288e-05	4.46771e-05	7.5447436e-05	5.3702758e-05
concentration of enzyme	TXT_R01067	1.7311565e-06	4.5531875e-06	2.3306478e-06	2.477961e-06
concentration of enzyme	FBP_R00762	0	0	0	0
concentration of enzyme	CSN_R00351	2.1736109e-07	3.3134517e-07	3.3376853e-07	4.5562596e-07
concentration of enzyme	ACN_R01325	0.016302627	0.0054970163	0.0062981251	0.0048742036
concentration of enzyme	ACN_R01900	5.158426e-06	4.5114094e-06	8.5113404e-06	6.376885e-06
concentration of enzyme	ICD_R00709	5.4890549e-08	1.7364857e-07	1.9620124e-07	1.6204229e-07
concentration of enzyme	KGD_R08549	3.1599946e-09	3.4815334e-09	4.7240388e-09	3.1391149e-09
concentration of enzyme	SCS_R00405	1.2173772e-06	1.9740772e-06	1.3925869e-06	9.5638541e-07
concentration of enzyme	SDH_R02164	5.5387843e-09	1.244996e-08	9.0873537e-09	7.9166361e-09
concentration of enzyme	FUM_R01082	2.0892034e-07	1.8351173e-07	2.2281929e-07	1.3964687e-07
concentration of enzyme	MDH_R00342	0.015807322	0.019921076	0.019292474	0.019483002
concentration of enzyme	PPC_R00345	0.0013316352	0.00096010373	0.0010625711	0.00058243518
					
!!SBtab TableName='Gibbs free energies of reaction' TableID='ReactionGibbsFreeEnergy' TableType='QuantityMatrix' Unit='kJ/mol'					
!QuantityType	!Reaction	state_1	state_2	state_3	state_4
Gibbs energy of reaction	PTS_RPTSsy	30.803037	27.129258	26.957118	27.845226
Gibbs energy of reaction	PGI_R02740	3.1712848	1.6994041	5.8520154	1.9744667
Gibbs energy of reaction	PFK_R04779	3.1081215	3.8798193	4.9725348	4.1562461
Gibbs energy of reaction	ALD_R01070	2.757472	1.4634103	4.3595556	3.6223772
Gibbs energy of reaction	TIM_R01015	0.17997523	0.46141628	0.32789861	0.32083703
