!!!SBtab DocumentName='MB result' Document='MBresult' StringencyAlpha='0.500000.2' CalculationTime='3705.300971 s'					
					
!!SBtab TableName='Metabolic fluxes' TableID='Flux' TableType='QuantityMatrix' Unit='mM/s'					
!QuantityType	!Reaction	state_1	state_2	state_3	state_4
rate of reaction	PTS_RPTSsy	0.00033260827	0.00048197182	0.00027254536	0.00041393939
rate of reaction	PGI_R02740	0.00022872827	0.00034201362	0.00051794469	0.00030102155
rate of reaction	PFK_R04779	0.00031322953	0.00043014979	0.00061069376	0.00040056578
rate of reaction	ALD_R01070	0.00041122375	0.0005587489	0.00056671148	0.00053940131
rate of reaction	TIM_R01015	0.00047742851	0.00047395885	0.00050645468	0.00035154609
rate of reaction	GAP_R01061	0.00095853718	0.0010725586	0.0011239318	0.00087766803
rate of reaction	PGK_R01512	0.00095937905	0.0010707649	0.001117487	0.00087048351
rate of reaction	PGM_R01518	0.00098492315	0.00086580795	0.00076990803	0.00051514729
rate of reaction	PGH_R00658	0.0009848388	0.00084701327	0.00075631717	0.00051412591
rate of reaction	PYK_R00200	0.00015634369	0.000132823	0.00015911236	3.6872959e-05
rate of reaction	PDH_R00209	0.00042668943	0.00018388529	0.0003329201	0.00032509332
rate of reaction	ZWF_R00835	0.00011577031	0.00020532841	0.00013855538	0.00018200363
rate of reaction	GLH_R02035	0.00011588554	0.00014955649	0.00013986262	0.00018350192
rate of reaction	PGD_R01528	0.00012074074	0.00014896809	0.00011753195	0.00020423026
rate of reaction	RPI_R01056	4.9229446e-05	7.9452199e-05	6.5514856e-05	6.2138273e-05
rate of reaction	RPE_R01529	8.186116e-05	4.9951223e-05	7.3205672e-05	0.00013529978
rate of reaction	TXT_R01641	5.8747888e-05	4.6237995e-05	7.1851466e-05	2.6933242e-05
rate of reaction	TAL_R08575	3.862891e-05	4.4366614e-05	5.4432516e-05	6.0268826e-05
rate of reaction	TXT_R01067	4.322627e-05	3.8764296e-05	3.8457215e-05	3.2716675e-05
rate of reaction	FBP_R00762	0	0	0	0
rate of reaction	CSN_R00351	0.00043402079	0.00011728509	0.00033227759	0.00024465774
rate of reaction	ACN_R01325	0.0002343692	0.00018979749	0.00021692664	0.00016114288
rate of reaction	ACN_R01900	0.00023056236	0.00021032292	0.00021861562	0.00018586065
rate of reaction	ICD_R00709	0.0002285566	0.00021410621	0.00021936933	0.00019558365
rate of reaction	KGD_R08549	0.00016971197	0.00014437184	0.00014291072	5.0976136e-05
rate of reaction	SCS_R00405	0.00016179938	0.00017270762	0.0001346913	0.00012325496
rate of reaction	SDH_R02164	6.0623604e-05	7.885045e-05	0.00010993581	9.3904432e-05
rate of reaction	FUM_R01082	3.7199178e-05	2.0305697e-05	0.00010389658	0.00014069334
rate of reaction	MDH_R00342	-5.2264966e-05	-6.2832816e-05	3.7903909e-05	0.00018085408
rate of reaction	PPC_R00345	-0.0004925212	-0.00018201184	-0.00029728459	-6.1920641e-05
					
!!SBtab TableName='Metabolite concentrations' TableID='MetaboliteConcentration' TableType='QuantityMatrix' Unit='mM'					
!QuantityType	!Compound	state_1	state_2	state_3	state_4
concentration	_S__Malate	1.6257246	0.93546028	0.83584665	0.36868609
concentration	Acetyl_CoA	0.13965566	0.24708056	0.23451338	0.34428881
concentration	Fumarate	0.42924762	0.230338	0.28905171	0.19411871
concentration	cis_Aconitate	0.23938612	0.096435664	0.04893666	0.057515225
concentration	_6_Phospho_D_gluconate	0.060123701	0.058809071	0.13283653	0.09231174
concentration	Orthophosphate	8.9916879	8.8917426	4.7265663	6.1558085
concentration	Pyruvate	1.1286757	0.59702853	0.1856225	0.30024536
concentration	NADPplus	0.28570522	0.24677566	0.11830729	0.26728901
concentration	NADPH	0.093559426	0.088562616	0.10323301	0.04154706
concentration	NADH	0.0028701869	0.0048607718	0.003772363	0.0018256395
concentration	NADplus	7.4355042	4.5056437	6.7576968	4.8101655
concentration	ATP	0.47718787	0.46441469	0.81460682	0.57864831
concentration	H2O	0.09391233	0.19219913	0.07226857	0.11948324
concentration	_2_Oxoglutarate	0.85711333	0.21958164	0.19775309	0.35733733
concentration	Oxaloacetate	0.10158512	0.020950433	0.027901155	0.0085770134
concentration	Ubiquinone	0.088942178	0.052727512	0.1741998	0.13940906
concentration	D_Erythrose_4_phosphate	0.080088159	0.10640529	0.09923115	0.11447974
concentration	Ubiquinol	0.075719429	0.094883034	0.042352013	0.085968463
concentration	ADP	0.35099236	0.28809296	0.32180098	0.25165004
concentration	Isocitrate	0.13579395	0.021671287	0.018965279	0.021324144
concentration	D_Ribulose_5_phosphate	0.27911863	0.26255638	0.17167634	0.2563204
concentration	D_Xylulose_5_phosphate	0.74718345	0.89065291	0.4338217	0.51816842
concentration	D_Glucose_6_phosphate	0.22493506	0.98935383	1.4874407	0.53230952
concentration	_3_Phospho_D_glyceroyl_phosphate	0.024642874	0.026530047	0.033646899	0.038862635
concentration	CoA	0.039164728	0.079079388	0.050625122	0.025893405
concentration	CO2	0.12579651	0.09201904	0.078951445	0.097330653
concentration	D_Ribose_5_phosphate	0.41843692	0.3266365	0.25004096	0.40285913
concentration	Glycerone_phosphate	0.63880547	2.2190171	0.66784835	1.1121461
concentration	D_Glucose	0.098881614	0.10118422	0.046354808	0.1041808
concentration	D_Fructose_1_6_bisphosphate	0.57081087	4.0050219	1.1411694	2.4302189
concentration	D_Glyceraldehyde_3_phosphate	0.059545101	0.20408309	0.061840489	0.10296715
concentration	Phosphoenolpyruvate	0.26063146	0.13680912	0.12944252	0.048064008
concentration	Citrate	10.685492	19.017773	9.6135084	9.1981015
concentration	Succinyl_CoA	0.19032912	0.097407854	0.11415935	0.16648469
concentration	_3_Phospho_D_glycerate	2.6358453	2.8213437	1.7159985	1.9857655
concentration	D_Glucono_1_5_lactone_6_phosphate	0.0014577	0.16180653	0.18367027	0.0048329372
concentration	D_Fructose_6_phosphate	0.022938761	0.18536455	0.05213077	0.088424072
concentration	_2_Phospho_D_glycerate	0.23247268	0.14300704	0.10638452	0.078406421
concentration	Succinate	0.90914205	0.20455928	0.10697554	0.18416993
concentration	Sedoheptulose_7_phosphate	0.4577896	0.69456858	0.62651118	0.93967164
					
!!SBtab TableName='Enzyme concentrations' TableID='EnzymeConcentration' TableType='QuantityMatrix' Unit='mM'					
!QuantityType	!Reaction	state_1	state_2	state_3	state_4
concentration of enzyme	PTS_RPTSsy	2.3229768e-10	4.7640461e-10	2.9199634e-10	4.2449511e-10
concentration of enzyme	PGI_R02740	0.00011373968	0.00023801966	0.00019610445	0.0001910224
concentration of enzyme	PFK_R04779	1.7831297e-06	1.6686094e-06	1.6840048e-06	1.500993e-06
concentration of enzyme	ALD_R01070	9.2290769e-07	1.4941031e-06	6.5238348e-07	6.1688317e-07
concentration of enzyme	TIM_R01015	0.0047850126	0.0017452522	0.0028454906	0.0018984953
concentration of enzyme	GAP_R01061	0.0091622236	0.0099484114	0.01494551	0.0086664451
concentration of enzyme	PGK_R01512	0.0056009514	0.0074989395	0.0054460162	0.0039594414
concentration of enzyme	PGM_R01518	0.0022248429	0.0014159673	0.0013848415	0.00078248522
concentration of enzyme	PGH_R00658	7.4755948e-07	8.1301388e-07	1.0182427e-06	6.8207821e-07
concentration of enzyme	PYK_R00200	1.7305667e-05	1.9359443e-05	1.6608694e-05	1.2182338e-05
concentration of enzyme	PDH_R00209	3.3723481e-07	1.062787e-07	2.922557e-07	4.0240241e-07
concentration of enzyme	ZWF_R00835	8.0679264e-07	8.154199e-07	7.4399879e-07	5.6936282e-07
concentration of enzyme	GLH_R02035	3.3226208e-06	1.4763964e-06	1.3793397e-06	2.8622558e-06
concentration of enzyme	PGD_R01528	1.1888427e-06	1.3631287e-06	6.7257278e-07	9.3421453e-07
concentration of enzyme	RPI_R01056	0.0053100298	0.0051644959	0.007245746	0.008154801
concentration of enzyme	RPE_R01529	2.3748092e-06	3.9646329e-06	1.8689528e-06	2.0821707e-06
concentration of enzyme	TXT_R01641	3.1310546e-08	4.8615449e-08	7.5386324e-08	2.8549521e-08
concentration of enzyme	TAL_R08575	4.6464082e-05	4.4621337e-05	7.5436349e-05	5.3686413e-05
concentration of enzyme	TXT_R01067	1.7343624e-06	4.5333307e-06	2.3094944e-06	2.4901538e-06
concentration of enzyme	FBP_R00762	0	0	0	0
concentration of enzyme	CSN_R00351	2.158369e-07	3.3109341e-07	3.3528575e-07	4.5555668e-07
concentration of enzyme	ACN_R01325	0.016205831	0.0054853063	0.0062792167	0.0048544928
concentration of enzyme	ACN_R01900	5.1564295e-06	4.5137996e-06	8.5005299e-06	6.3769829e-06
concentration of enzyme	ICD_R00709	5.4884116e-08	1.7338309e-07	1.9590365e-07	1.6186616e-07
concentration of enzyme	KGD_R08549	3.156763e-09	3.4683813e-09	4.7306153e-09	3.1339061e-09
concentration of enzyme	SCS_R00405	1.2171051e-06	1.9717865e-06	1.3924503e-06	9.5653666e-07
concentration of enzyme	SDH_R02164	5.5415208e-09	1.2448497e-08	9.0862103e-09	7.8951439e-09
concentration of enzyme	FUM_R01082	2.0772709e-07	1.8143302e-07	2.246002e-07	1.3960578e-07
concentration of enzyme	MDH_R00342	0.015813703	0.019947471	0.019236875	0.019475104
concentration of enzyme	PPC_R00345	0.001328328	0.00096219769	0.0010613834	0.00058138409
					
!!SBtab TableName='Gibbs free energies of reaction' TableID='ReactionGibbsFreeEnergy' TableType='QuantityMatrix' Unit='kJ/mol'					
!QuantityType	!Reaction	state_1	state_2	state_3	state_4
Gibbs energy of reaction	PTS_RPTSsy	37.423014	33.789096	33.601989	34.508796
Gibbs energy of reaction	PGI_R02740	3.5702732	2.0624327	6.2179807	2.3607833
Gibbs energy of reaction	PFK_R04779	11.068784	11.841224	12.927513	12.125184
Gibbs energy of reaction	ALD_R01070	3.00859	1.6978008	4.5219074	3.867687
Gibbs energy of reaction	TIM_R01015	0.021007576	0.054291292	0.037460109	0.037792295
