!!!SBtab Document='MBresult' DocumentName='MB result' CalculationTime='16.150795 s'				
				
!!SBtab TableID='Reaction' TableType='Reaction' TableName='Reaction'				
!ID	!ReactionFormula	!Name	!IsReversible	
E1	X1 <=> S2	E1	True	
E2	S2 <=> X3	E2	True	
E3	X3 <=> X4	E3	True	
				
!!SBtab TableID='Compound' TableType='Compound' TableName='Compound'				
!ID	!Name	!IsConstant		
X1	X1	True		
S2	S2	False		
X3	X3	False		
X4	X4	True		
				
!!SBtab TableID='Parameter' TableType='Quantity' TableName='Parameter' StandardConcentration='mM'				
!QuantityType	!Reaction	!Compound	!Mode	!Unit
equilibrium constant	E1		0.030717546	dimensionless
equilibrium constant	E2		19.816824	dimensionless
equilibrium constant	E3		2.0658644	dimensionless
catalytic rate constant geometric mean	E1		7.5299515	1/s
catalytic rate constant geometric mean	E2		26.919344	1/s
catalytic rate constant geometric mean	E3		20.995589	1/s
Michaelis constant	E1	X1	0.25044167	mM
Michaelis constant	E1	S2	0.0084425576	mM
Michaelis constant	E2	S2	0.86549397	mM
Michaelis constant	E2	X3	0.027177715	mM
Michaelis constant	E3	X3	0.11718911	mM
Michaelis constant	E3	X4	1.9766876	mM
substrate catalytic rate constant	E1		7.1878949	1/s
substrate catalytic rate constant	E2		676.24965	1/s
substrate catalytic rate constant	E3		7.3477367	1/s
product catalytic rate constant	E1		7.8882859	1/s
product catalytic rate constant	E2		1.0715733	1/s
product catalytic rate constant	E3		59.993274	1/s
				
!!SBtab TableID='ConcentrationConstraint' TableType='Quantity' TableName='Metabolite concentration constraints'				
!QuantityType	!Compound	!Min	!Max	
concentration	X1	1e-06	1000000	
concentration	S2	1e-06	1000000	
concentration	X3	1e-06	1000000	
concentration	X4	1e-06	1000000	
