!!!SBtab Document='CMBresult' DocumentName='CMB result' CalculationTime='8.966805 s'				
				
!!SBtab TableID='Reaction' TableType='Reaction' TableName='Reaction'				
!ID	!ReactionFormula	!Name	!IsReversible	
E1	X1 <=> S2	E1	True	
E2	S2 <=> X3	E2	True	
E3	X3 <=> X4	E3	True	
				
!!SBtab TableID='Compound' TableType='Compound' TableName='Compound'				
!ID	!Name	!IsConstant		
X1	X1	True		
S2	S2	False		
X3	X3	False		
X4	X4	True		
				
!!SBtab TableID='Parameter' TableType='Quantity' TableName='Parameter' StandardConcentration='mM'				
!QuantityType	!Reaction	!Compound	!Mode	!Unit
equilibrium constant	E1		0.05304262	dimensionless
equilibrium constant	E2		22.545321	dimensionless
equilibrium constant	E3		1.7443524	dimensionless
catalytic rate constant geometric mean	E1		388.07888	1/s
catalytic rate constant geometric mean	E2		256.27994	1/s
catalytic rate constant geometric mean	E3		53.41637	1/s
Michaelis constant	E1	X1	44.338765	mM
Michaelis constant	E1	S2	12.463433	mM
Michaelis constant	E2	S2	0.17126354	mM
Michaelis constant	E2	X3	0.0036182273	mM
Michaelis constant	E3	X3	0.057701952	mM
Michaelis constant	E3	X4	0.072437924	mM
substrate catalytic rate constant	E1		168.57977	1/s
substrate catalytic rate constant	E2		8371.9643	1/s
substrate catalytic rate constant	E3		62.965657	1/s
product catalytic rate constant	E1		893.37658	1/s
product catalytic rate constant	E2		7.8451612	1/s
product catalytic rate constant	E3		45.315315	1/s
				
!!SBtab TableID='ConcentrationConstraint' TableType='Quantity' TableName='Metabolite concentration constraints'				
!QuantityType	!Compound	!Min	!Max	
concentration	X1	1e-06	1000000	
concentration	S2	1e-06	1000000	
concentration	X3	1e-06	1000000	
concentration	X4	1e-06	1000000	
