!!!SBtab Document='CMBresult' DocumentName='CMB result' CalculationTime='11.936992 s'				
				
!!SBtab TableID='Reaction' TableType='Reaction' TableName='Reaction'				
!ID	!ReactionFormula	!Name	!IsReversible	
E1	X1 <=> S4	E1	True	
E2	X2 <=> S4	E2	True	
E3	S4 <=> X3	E3	True	
				
!!SBtab TableID='Compound' TableType='Compound' TableName='Compound'				
!ID	!Name	!IsConstant		
X1	X1	True		
X2	X2	True		
X3	X3	True		
S4	S4	False		
				
!!SBtab TableID='Parameter' TableType='Quantity' TableName='Parameter' StandardConcentration='mM'				
!QuantityType	!Reaction	!Compound	!Mode	!Unit
equilibrium constant	E1		2.1000858	dimensionless
equilibrium constant	E2		39.914071	dimensionless
equilibrium constant	E3		0.56826315	dimensionless
catalytic rate constant geometric mean	E1		46.33101	1/s
catalytic rate constant geometric mean	E2		57.178667	1/s
catalytic rate constant geometric mean	E3		80.416991	1/s
Michaelis constant	E1	X1	0.43545321	mM
Michaelis constant	E2	X2	0.30631387	mM
Michaelis constant	E3	X3	0.12429141	mM
Michaelis constant	E1	S4	0.017549908	mM
Michaelis constant	E2	S4	0.02224907	mM
Michaelis constant	E3	S4	0.64305418	mM
substrate catalytic rate constant	E1		334.44415	1/s
substrate catalytic rate constant	E2		1340.3692	1/s
substrate catalytic rate constant	E3		137.88778	1/s
product catalytic rate constant	E1		6.4182987	1/s
product catalytic rate constant	E2		2.4391787	1/s
product catalytic rate constant	E3		46.899676	1/s
				
!!SBtab TableID='ConcentrationConstraint' TableType='Quantity' TableName='Metabolite concentration constraints'				
!QuantityType	!Compound	!Min	!Max	
concentration	X1	1e-06	1000000	
concentration	X2	1e-06	1000000	
concentration	X3	1e-06	1000000	
concentration	S4	1e-06	1000000	
