!!!SBtab Document='CMBresult' DocumentName='CMB result' CalculationTime='4.625582 s'				
				
!!SBtab TableID='Reaction' TableType='Reaction' TableName='Reaction'				
!ID	!ReactionFormula	!Name	!IsReversible	
E1	X1 <=> S4	E1	True	
E2	X2 <=> S4	E2	True	
E3	S4 <=> X3	E3	True	
				
!!SBtab TableID='Compound' TableType='Compound' TableName='Compound'				
!ID	!Name	!IsConstant		
X1	X1	True		
X2	X2	True		
X3	X3	True		
S4	S4	False		
				
!!SBtab TableID='Parameter' TableType='Quantity' TableName='Parameter' StandardConcentration='mM'				
!QuantityType	!Reaction	!Compound	!Mode	!Unit
equilibrium constant	E1		1.9435864	dimensionless
equilibrium constant	E2		30.362868	dimensionless
equilibrium constant	E3		0.73786523	dimensionless
catalytic rate constant geometric mean	E1		50.070847	1/s
catalytic rate constant geometric mean	E2		100.17279	1/s
catalytic rate constant geometric mean	E3		84.668909	1/s
Michaelis constant	E1	X1	0.18023806	mM
Michaelis constant	E2	X2	0.39986108	mM
Michaelis constant	E3	X3	0.21394609	mM
Michaelis constant	E1	S4	0.004367706	mM
Michaelis constant	E2	S4	0.011027806	mM
Michaelis constant	E3	S4	0.8221048	mM
substrate catalytic rate constant	E1		448.41838	1/s
substrate catalytic rate constant	E2		3323.7715	1/s
substrate catalytic rate constant	E3		142.56861	1/s
product catalytic rate constant	E1		5.5909612	1/s
product catalytic rate constant	E2		3.0190365	1/s
product catalytic rate constant	E3		50.283329	1/s
				
!!SBtab TableID='ConcentrationConstraint' TableType='Quantity' TableName='Metabolite concentration constraints'				
!QuantityType	!Compound	!Min	!Max	
concentration	X1	1e-06	1000000	
concentration	X2	1e-06	1000000	
concentration	X3	1e-06	1000000	
concentration	S4	1e-06	1000000	
