!!!SBtab Document='CMBresult' DocumentName='CMB result' CalculationTime='10.240375 s'				
				
!!SBtab TableID='Reaction' TableType='Reaction' TableName='Reaction'				
!ID	!ReactionFormula	!Name	!IsReversible	
E1	X1 <=> S2	E1	True	
E2	X3 <=> S4	E2	True	
E3	S2 + S4 <=> S5	E3	True	
E4	S5 <=> X6	E4	True	
E5	S5 <=> X7	E5	True	
				
!!SBtab TableID='Compound' TableType='Compound' TableName='Compound'				
!ID	!Name	!IsConstant		
X1	X1	True		
S2	S2	False		
X3	X3	True		
S4	S4	False		
S5	S5	False		
X6	X6	True		
X7	X7	True		
				
!!SBtab TableID='Parameter' TableType='Quantity' TableName='Parameter' StandardConcentration='mM'				
!QuantityType	!Reaction	!Compound	!Mode	!Unit
equilibrium constant	E1		0.045074438	dimensionless
equilibrium constant	E2		1.3284688	dimensionless
equilibrium constant	E3		4.5452613	dimensionless
equilibrium constant	E4		0.60203258	dimensionless
equilibrium constant	E5		0.59214635	dimensionless
catalytic rate constant geometric mean	E1		287.01086	1/s
catalytic rate constant geometric mean	E2		143.54967	1/s
catalytic rate constant geometric mean	E3		531.71085	1/s
catalytic rate constant geometric mean	E4		51.797781	1/s
catalytic rate constant geometric mean	E5		669.10231	1/s
Michaelis constant	E1	X1	0.0096944995	mM
Michaelis constant	E1	S2	0.01178322	mM
Michaelis constant	E3	S2	2.4823644	mM
Michaelis constant	E2	X3	1.8813242	mM
Michaelis constant	E2	S4	0.010162853	mM
Michaelis constant	E3	S4	0.063570923	mM
Michaelis constant	E3	S5	0.34405625	mM
Michaelis constant	E4	S5	0.43340551	mM
Michaelis constant	E5	S5	0.049594974	mM
Michaelis constant	E4	X6	0.23482553	mM
Michaelis constant	E5	X7	0.016434906	mM
substrate catalytic rate constant	E1		55.270603	1/s
substrate catalytic rate constant	E2		2251.1368	1/s
substrate catalytic rate constant	E3		767.71893	1/s
substrate catalytic rate constant	E4		54.600386	1/s
substrate catalytic rate constant	E5		894.42161	1/s
product catalytic rate constant	E1		1490.3987	1/s
product catalytic rate constant	E2		9.1538235	1/s
product catalytic rate constant	E3		368.25512	1/s
product catalytic rate constant	E4		49.139032	1/s
product catalytic rate constant	E5		500.5446	1/s
				
!!SBtab TableID='ConcentrationConstraint' TableType='Quantity' TableName='Metabolite concentration constraints'				
!QuantityType	!Compound	!Min	!Max	
concentration	X1	1e-06	1000000	
concentration	S2	1e-06	1000000	
concentration	X3	1e-06	1000000	
concentration	S4	1e-06	1000000	
concentration	S5	1e-06	1000000	
concentration	X6	1e-06	1000000	
concentration	X7	1e-06	1000000	
