!!!SBtab Document='Model'					
					
!!SBtab TableID='Reaction' TableType='Reaction' TableName='Reaction'					
!ID	!ReactionFormula	!Name	!IsReversible	!KineticLaw:Name	!KineticLaw:Formula
E1	X1 <=> S2	E1	True	Common saturable (CM)	u_R1 * ( kC_R1 * sqrt( kEQ_R1  * kM_R1_X1 / kM_R1_S2 ) * ( X1 / kM_R1_X1 ) - kC_R1 / sqrt( kEQ_R1  * kM_R1_X1 / kM_R1_S2 ) * ( S2 / kM_R1_S2 ) ) / ( ( 1 + X1 / kM_R1_X1 ) + ( 1 + S2 / kM_R1_S2 ) - 1 )
E2	X3 <=> S4	E2	True	Common saturable (CM)	u_R2 * ( kC_R2 * sqrt( kEQ_R2  * kM_R2_X3 / kM_R2_S4 ) * ( X3 / kM_R2_X3 ) - kC_R2 / sqrt( kEQ_R2  * kM_R2_X3 / kM_R2_S4 ) * ( S4 / kM_R2_S4 ) ) / ( ( 1 + X3 / kM_R2_X3 ) + ( 1 + S4 / kM_R2_S4 ) - 1 )
E3	S2 + S4 <=> S5	E3	True	Common saturable (CM)	u_R3 * ( kC_R3 * sqrt( kEQ_R3  * kM_R3_S2 * kM_R3_S4 / kM_R3_S5 ) * ( S2 / kM_R3_S2 ) * ( S4 / kM_R3_S4 ) - kC_R3 / sqrt( kEQ_R3  * kM_R3_S2 * kM_R3_S4 / kM_R3_S5 ) * ( S5 / kM_R3_S5 ) ) / ( ( 1 + S2 / kM_R3_S2 ) * ( 1 + S4 / kM_R3_S4 ) + ( 1 + S5 / kM_R3_S5 ) - 1 )
E4	S5 <=> X6	E4	True	Common saturable (CM)	u_R4 * ( kC_R4 * sqrt( kEQ_R4  * kM_R4_S5 / kM_R4_X6 ) * ( S5 / kM_R4_S5 ) - kC_R4 / sqrt( kEQ_R4  * kM_R4_S5 / kM_R4_X6 ) * ( X6 / kM_R4_X6 ) ) / ( ( 1 + S5 / kM_R4_S5 ) + ( 1 + X6 / kM_R4_X6 ) - 1 )
E5	S5 <=> X7	E5	True	Common saturable (CM)	u_R5 * ( kC_R5 * sqrt( kEQ_R5  * kM_R5_S5 / kM_R5_X7 ) * ( S5 / kM_R5_S5 ) - kC_R5 / sqrt( kEQ_R5  * kM_R5_S5 / kM_R5_X7 ) * ( X7 / kM_R5_X7 ) ) / ( ( 1 + S5 / kM_R5_S5 ) + ( 1 + X7 / kM_R5_X7 ) - 1 )
					
!!SBtab TableID='Compound' TableType='Compound' TableName='Compound'					
!ID	!Name	!IsConstant			
X1	X1	True			
S2	S2	False			
X3	X3	True			
S4	S4	False			
S5	S5	False			
X6	X6	True			
X7	X7	True			
					
!!SBtab TableID='Position' TableType='Position' TableName='Network layout'					
!Element	!PositionX	!PositionY			
X1	-0.004722	0.7662			
S2	0.18043459	0.76591403			
X3	-0.0065602717	0.50699807			
S4	0.18248948	0.51110785			
S5	0.36948434	0.63851094			
X6	0.61401608	0.76385915			
X7	0.61196119	0.51110785			
E1	0.079745049	0.76591403			
E2	0.083854826	0.50905296			
E3	0.28934368	0.63851094			
E4	0.44757011	0.7001576			
E5	0.44757011	0.58097406			
					
!!SBtab TableID='Parameter' TableType='Quantity' TableName='Parameter' StandardConcentration='mM'					
!QuantityType	!Reaction	!Compound	!Mode	!Unit	
equilibrium constant	E1		0.052572571	dimensionless	
equilibrium constant	E2		1.7597466	dimensionless	
equilibrium constant	E3		4.3755067	dimensionless	
equilibrium constant	E4		0.64455593	dimensionless	
equilibrium constant	E5		0.63021124	dimensionless	
catalytic rate constant geometric mean	E1		266.50933	1/s	
catalytic rate constant geometric mean	E2		145.69	1/s	
catalytic rate constant geometric mean	E3		513.96767	1/s	
catalytic rate constant geometric mean	E4		50.767591	1/s	
catalytic rate constant geometric mean	E5		725.15386	1/s	
Michaelis constant	E1	X1	0.008809908	mM	
Michaelis constant	E1	S2	0.012949655	mM	
Michaelis constant	E3	S2	2.6201256	mM	
Michaelis constant	E2	X3	1.7367366	mM	
Michaelis constant	E2	S4	0.011065878	mM	
Michaelis constant	E3	S4	0.06244919	mM	
Michaelis constant	E3	S5	0.35569224	mM	
Michaelis constant	E4	S5	0.44581907	mM	
Michaelis constant	E5	S5	0.045389171	mM	
Michaelis constant	E4	X6	0.26407129	mM	
Michaelis constant	E5	X7	0.015178301	mM	
substrate catalytic rate constant	E1		50.402099	1/s	
substrate catalytic rate constant	E2		2421.1899	1/s	
substrate catalytic rate constant	E3		729.18418	1/s	
substrate catalytic rate constant	E4		52.958489	1/s	
substrate catalytic rate constant	E5		995.49201	1/s	
product catalytic rate constant	E1		1409.2117	1/s	
product catalytic rate constant	E2		8.7665889	1/s	
product catalytic rate constant	E3		362.27166	1/s	
product catalytic rate constant	E4		48.66733	1/s	
product catalytic rate constant	E5		528.22938	1/s	
concentration		X1	10	mM	
concentration		S2	1	mM	
concentration		X3	1	mM	
concentration		S4	1	mM	
concentration		S5	1	mM	
concentration		X6	1	mM	
concentration		X7	0.01	mM	
concentration of enzyme	E1		0.00076862472	mM	
concentration of enzyme	E2		0.0016143326	mM	
concentration of enzyme	E3		0.00073526349	mM	
concentration of enzyme	E4		0.00063768594	mM	
concentration of enzyme	E5		0.00070975068	mM	
