!!SBtab TableType='Quantity' Unit='mmol/gCDW/s' Organism='Escherichia coli' Reference='Davidi 2016' SBtabVersion='1.0' Date='2019-06-10'																																	
!QuantityType	!Reaction	GLC_CHEM_mu_0_11_V	GLC_CHEM_mu_0_12_S	GLC_CHEM_mu_0_20_S	GLC_CHEM_mu_0_21_P	GLC_CHEM_mu_0_21_V	GLC_CHEM_mu_0_22_P	GLC_CHEM_mu_0_26_P	GAL_BATCH_mu_0_26_S	ACE_BATCH_mu_0_3_S	GLC_CHEM_mu_0_31_P	GLC_CHEM_mu_0_31_V	GLC_CHEM_mu_0_35_S	GLC_CHEM_mu_0_36_P	PYR_BATCH_mu_0_4_S	GLC_CHEM_mu_0_40_V	GLC_CHEM_mu_0_41_P	FUM_BATCH_mu_0_42_S	SUCC_BATCH_mu_0_44_S	GLC_CHEM_mu_0_46_P	GAM_BATCH_mu_0_46_S	GLYC_BATCH_mu_0_47_S	MAN_BATCH_mu_0_47_S	GLC_CHEM_mu_0_49_V	GLC_CHEM_mu_0_50_S	GLC_CHEM_mu_0_51_P	GLC_SALTS_BATCH_mu_0_55_S	XYL_BATCH_mu_0_55_S	GLC_BATCH_mu_0_58_S	GLC_pH6_BATCH_mu_0_63_S	FRU_BATCH_mu_0_65_S	GLC_42deg_BATCH_mu_0_66_S	!Reaction:Identifiers:kegg.reaction
rate of reaction	3OAR140	2.40E-06	2.60E-06	4.30E-06	4.50E-06	4.50E-06	4.80E-06	5.60E-06	5.60E-06	6.50E-06	6.70E-06	6.70E-06	7.60E-06	7.80E-06	8.60E-06	8.60E-06	8.90E-06	9.10E-06	9.50E-06	9.90E-06	9.90E-06	1.00E-05	1.00E-05	1.10E-05	1.10E-05	1.10E-05	1.20E-05	1.20E-05	1.30E-05	1.40E-05	1.40E-05	1.40E-05	R04566
rate of reaction	5DOAN	6.90E-09	7.50E-09	1.30E-08	1.30E-08	1.30E-08	1.40E-08	1.60E-08	1.60E-08	1.90E-08	1.90E-08	1.90E-08	2.20E-08	2.30E-08	2.50E-08	2.50E-08	2.60E-08	2.60E-08	2.80E-08	2.90E-08	2.90E-08	2.90E-08	2.90E-08	3.10E-08	3.10E-08	3.20E-08	3.40E-08	3.40E-08	3.60E-08	3.90E-08	4.10E-08	4.10E-08	
rate of reaction	ACGK	9.00E-06	9.90E-06	1.60E-05	1.70E-05	1.70E-05	1.80E-05	2.10E-05	2.10E-05	2.50E-05	2.50E-05	2.50E-05	2.90E-05	3.00E-05	3.30E-05	3.30E-05	3.40E-05	3.50E-05	3.60E-05	3.80E-05	3.80E-05	3.90E-05	3.90E-05	4.00E-05	4.10E-05	4.20E-05	4.50E-05	4.50E-05	4.80E-05	5.20E-05	5.30E-05	5.40E-05	R02649
rate of reaction	ACGS	9.00E-06	9.90E-06	1.60E-05	1.70E-05	1.70E-05	1.80E-05	2.10E-05	2.10E-05	2.50E-05	2.50E-05	2.50E-05	2.90E-05	3.00E-05	3.30E-05	3.30E-05	3.40E-05	3.50E-05	3.60E-05	3.80E-05	3.80E-05	3.90E-05	3.90E-05	4.00E-05	4.10E-05	4.20E-05	4.50E-05	4.50E-05	4.80E-05	5.20E-05	5.30E-05	5.40E-05	R00259
rate of reaction	ACOAD1f_reverse	1.10E-05	1.20E-05	2.00E-05	2.10E-05	2.10E-05	2.20E-05	2.60E-05	2.60E-05	3.00E-05	3.10E-05	3.10E-05	3.50E-05	3.60E-05	4.00E-05	4.00E-05	4.10E-05	4.20E-05	4.30E-05	4.50E-05	4.50E-05	4.60E-05	4.60E-05	4.80E-05	4.90E-05	5.00E-05	5.40E-05	5.40E-05	5.70E-05	6.20E-05	6.40E-05	6.50E-05	
rate of reaction	ACOAD2f_reverse	1.10E-05	1.20E-05	2.00E-05	2.10E-05	2.10E-05	2.20E-05	2.60E-05	2.60E-05	3.00E-05	3.10E-05	3.10E-05	3.50E-05	3.60E-05	4.00E-05	4.00E-05	4.10E-05	4.20E-05	4.30E-05	4.50E-05	4.50E-05	4.60E-05	4.60E-05	4.80E-05	4.90E-05	5.00E-05	5.40E-05	5.40E-05	5.70E-05	6.20E-05	6.40E-05	6.50E-05	
rate of reaction	ACOAD3f_reverse	1.10E-05	1.20E-05	2.00E-05	2.10E-05	2.10E-05	2.20E-05	2.60E-05	2.60E-05	3.00E-05	3.10E-05	3.10E-05	3.50E-05	3.60E-05	4.00E-05	4.00E-05	4.10E-05	4.20E-05	4.30E-05	4.50E-05	4.50E-05	4.60E-05	4.60E-05	4.80E-05	4.90E-05	5.00E-05	5.40E-05	5.40E-05	5.70E-05	6.20E-05	6.40E-05	6.50E-05	
rate of reaction	ACOAD4f_reverse	1.10E-05	1.20E-05	2.00E-05	2.10E-05	2.10E-05	2.20E-05	2.60E-05	2.60E-05	3.00E-05	3.10E-05	3.10E-05	3.50E-05	3.60E-05	4.00E-05	4.00E-05	4.10E-05	4.20E-05	4.30E-05	4.50E-05	4.50E-05	4.60E-05	4.60E-05	4.80E-05	4.90E-05	5.00E-05	5.40E-05	5.40E-05	5.70E-05	6.20E-05	6.40E-05	6.50E-05	
rate of reaction	ACOAD5f_reverse	1.10E-05	1.20E-05	2.00E-05	2.10E-05	2.10E-05	2.20E-05	2.60E-05	2.60E-05	3.00E-05	3.10E-05	3.10E-05	3.50E-05	3.60E-05	4.00E-05	4.00E-05	4.10E-05	4.20E-05	4.30E-05	4.50E-05	4.50E-05	4.60E-05	4.60E-05	4.80E-05	4.90E-05	5.00E-05	5.40E-05	5.40E-05	5.70E-05	6.20E-05	6.40E-05	6.50E-05	
rate of reaction	ACOAD6f_reverse	8.50E-06	9.30E-06	1.50E-05	1.60E-05	1.60E-05	1.70E-05	2.00E-05	2.00E-05	2.30E-05	2.40E-05	2.40E-05	2.70E-05	2.80E-05	3.10E-05	3.10E-05	3.20E-05	3.20E-05	3.40E-05	3.60E-05	3.60E-05	3.60E-05	3.60E-05	3.80E-05	3.90E-05	3.90E-05	4.20E-05	4.20E-05	4.50E-05	4.90E-05	5.00E-05	5.10E-05	
rate of reaction	ACOAD7f_reverse	3.90E-06	4.30E-06	7.10E-06	7.40E-06	7.40E-06	7.80E-06	9.20E-06	9.20E-06	1.10E-05	1.10E-05	1.10E-05	1.20E-05	1.30E-05	1.40E-05	1.40E-05	1.50E-05	1.50E-05	1.60E-05	1.60E-05	1.60E-05	1.70E-05	1.70E-05	1.70E-05	1.80E-05	1.80E-05	1.90E-05	1.90E-05	2.10E-05	2.20E-05	2.30E-05	2.30E-05	
rate of reaction	ACODA	9.00E-06	9.90E-06	1.60E-05	1.70E-05	1.70E-05	1.80E-05	2.10E-05	2.10E-05	2.50E-05	2.50E-05	2.50E-05	2.90E-05	3.00E-05	3.30E-05	3.30E-05	3.40E-05	3.50E-05	3.60E-05	3.80E-05	3.80E-05	3.90E-05	3.90E-05	4.00E-05	4.10E-05	4.20E-05	4.50E-05	4.50E-05	4.80E-05	5.20E-05	5.30E-05	5.40E-05	R00669
rate of reaction	ADCL	2.00E-08	2.20E-08	3.70E-08	3.90E-08	3.90E-08	4.10E-08	4.80E-08	4.80E-08	5.60E-08	5.80E-08	5.80E-08	6.50E-08	6.70E-08	7.40E-08	7.40E-08	7.60E-08	7.80E-08	8.20E-08	8.50E-08	8.50E-08	8.70E-08	8.70E-08	9.10E-08	9.30E-08	9.50E-08	1.00E-07	1.00E-07	1.10E-07	1.20E-07	1.20E-07	1.20E-07	R05553
rate of reaction	ADK1	8.00E-05	8.70E-05	1.50E-04	1.50E-04	1.50E-04	1.60E-04	1.90E-04	1.90E-04	2.20E-04	2.30E-04	2.30E-04	2.60E-04	2.60E-04	2.90E-04	2.90E-04	3.00E-04	3.10E-04	3.20E-04	3.40E-04	3.40E-04	3.40E-04	3.40E-04	3.60E-04	3.60E-04	3.70E-04	4.00E-04	4.00E-04	4.20E-04	4.60E-04	4.70E-04	4.80E-04	R00127
