!!!SBtab			

!!SBtab TableID='MetaboliteConcentration' TableType='Quantity' Unit='mM'			
!QuantityType	!Compound	!Compound:Identifiers:kegg.compound	!Value
concentration	M_accoa_m	C00024	0.018281061
concentration	M_accoa_c	C00024	0.0054271079
concentration	M_adp_m	C00008	1.3556225
concentration	M_akg_m	C00026	1.2504074
concentration	M_asp_L_c	C00049	9.8458582
concentration	AspartateSink		NaN
concentration	M_atp_m	C00002	8.9666155
concentration	M_cit_m	C00158	1.3291001
concentration	M_co2_m	C00011	NaN
concentration	M_coa_m	C00010	0.014134809
concentration	M_coa_c	C00010	0.014134809
concentration	M_fum_m	C00122	0.069563677
concentration	M_glu_L_m	C00025	24.627989
concentration	Glutamine	C00064	1.3686172
concentration	Glutamine_ex	C00064	1.3686172
concentration	M_hco3_m	C00288	NaN
concentration	M_icit_m	C00311	NaN
concentration	M_mal_L_m	C00149	0.67945395
concentration	M_nad_m	C00003	0.48946119
concentration	M_nadh_m	C00004	0.064946631
concentration	M_nadp_m	C00006	0.077971982
concentration	M_nadph_m	C00005	NaN
concentration	M_nh4_m	C00014	NaN
concentration	M_oaa_m	C00036	NaN
concentration	M_oaa_c	C00036	NaN
concentration	M_pi_m	C00009	7.5
concentration	Purines		NaN
concentration	Pyrimidines		NaN
concentration	M_pyr_m	C00022	2.2529796
concentration	M_q6_m	C17568	NaN
concentration	M_q6h2_m	C00390	NaN
concentration	M_succ_m	C00042	0.042307841
concentration	M_succoa_m	C00091	NaN

!!SBtab TableID='EnzymeConcentration' TableType='Quantity' Unit='mM'			
!QuantityType	!Reaction	!Reaction:Identifiers:kegg.reaction	!Value
concentration of enzyme	GLI_GLUNim		NaN
concentration of enzyme	GTS_GLTEsy		0.00043894638
concentration of enzyme	R_GLUDym		NaN
concentration of enzyme	R_AKGDam	R01197	0.00087375347
concentration of enzyme	R_SUCOAS1m	R00405	0.00066747258
concentration of enzyme	R_SUCD2_u6m		0.000684733
concentration of enzyme	R_FUMm	R01082	0.001879837
concentration of enzyme	R_MDHm	R00342	0.0050438672
concentration of enzyme	R_CSm		0.0041047544
concentration of enzyme	R_ACL		NaN
concentration of enzyme	R_ACONTm	R01324	0.00021817854
concentration of enzyme	R_ICDHym	R00267	0.0003369704
concentration of enzyme	R_ICDHxm	R00709	0.0004392816
concentration of enzyme	ASS_ASPAsy		NaN
concentration of enzyme	ASC_ASPAcons		NaN
concentration of enzyme	PYS_PYRIsy		NaN
concentration of enzyme	R_PC	R00344	0.00047008878
concentration of enzyme	R_ALCD2m		0.00076251776
concentration of enzyme	R_ME1m	R00214	0.00055411756
