!!SBtab TableType='Position' TableID='Position'						
!PositionX	!PositionY	!Element	!Element:Identifiers:kegg:compound	!Element:Identifiers:kegg:reaction	!IsFixed	!IsInvisible
-0.004722	0.7662	X1			1	0
0.18043459	0.76591403	S2			1	0
-0.0065602717	0.50699807	X3			1	0
0.18248948	0.51110785	S4			1	0
0.36948434	0.63851094	S5			1	0
0.61401608	0.76385915	X6			1	0
0.61196119	0.51110785	X7			1	0
0.079745049	0.76591403	E1			1	0
0.083854826	0.50905296	E2			1	0
0.28934368	0.63851094	E3			1	0
0.44757011	0.7001576	E4			1	0
0.44757011	0.58097406	E5			1	0
